observation_id,N,slope_hz_per_s,detrended_mean_hz,detrended_std_hz,detrended_rms_hz,detrended_min_hz,detrended_max_hz,skewness,kurtosis,normality_test_name,normality_p_value,gaussian_like_judgement,remaining_time_structure_judgement,model_order_suggestion
8493026,146,-0.912524,-0.000000,55.950919,55.950919,-83.621684,131.571196,0.397147,-0.872106,Jarque-Bera,0.014518,大致接近高斯，但存在轻微偏离,仍存在明显时间结构,建议评估二阶模型
8535896,151,-1.110156,-0.000000,39.456366,39.456366,-95.111093,79.688558,-0.191180,-0.445604,Jarque-Bera,0.338049,近似高斯,仍存在明显时间结构,建议评估二阶模型
8641460,157,-0.768749,0.000000,30.882012,30.882012,-61.464627,53.639502,-0.217569,-1.089037,Jarque-Bera,0.011125,大致接近高斯，但存在轻微偏离,仍存在明显时间结构,建议评估二阶模型
8707816,141,-0.941984,-0.000000,10.916891,10.916891,-25.106559,30.368877,0.030657,-0.384443,Jarque-Bera,0.640700,近似高斯,仍存在明显时间结构,建议评估二阶模型
8733468,149,4.037490,0.000000,23.215133,23.215133,-62.367097,56.741194,0.041294,-0.121549,Jarque-Bera,0.935163,近似高斯,仍存在明显时间结构,建议评估二阶模型
8788317,154,-1.374091,-0.000000,46.321961,46.321961,-74.711435,102.950168,0.144277,-1.082396,Jarque-Bera,0.017846,大致接近高斯，但存在轻微偏离,仍存在明显时间结构,建议评估二阶模型
8814142,156,-0.561453,0.000000,49.309021,49.309021,-158.983150,94.672340,0.223138,-0.479221,Jarque-Bera,0.248168,近似高斯,仍存在明显时间结构,建议评估二阶模型
8823291,129,2.859410,-0.000000,84.073326,84.073326,-214.174040,125.066306,-0.463379,-0.767681,Jarque-Bera,0.020403,大致接近高斯，但存在轻微偏离,仍存在明显时间结构,建议评估二阶模型
9424971,161,-0.197808,0.000000,32.889947,32.889947,-58.556310,71.640220,0.187593,-0.836978,Jarque-Bera,0.059496,近似高斯,仍存在明显时间结构,建议评估二阶模型
9462382,141,-4.052513,0.000000,35.846446,35.846446,-53.159544,97.539261,0.735772,-0.240422,Jarque-Bera,0.001458,明显偏离高斯,仍存在明显时间结构,建议评估二阶模型
