observation_id,norad_id,site_id,acceptance_status,fitted_frequency_hz,reference_frequency_hz,registered_frequency_offset_hz,rms_khz,measurements,tca_utc,residual_std_hz,residual_rms_hz,detrended_std_hz,linear_slope_hz_per_s,improvement_ratio,lag1_autocorr,jb_pvalue,quadratic_improvement_ratio
8493026,42803,9999,borderline,1623195623.0,1623192000.0,3623.0,0.086,146,2023-11-10T21:51:23,85.519976,85.519976,55.950919,-0.912524,0.345756,0.986022,0.014518,0.660922
8535896,42803,9999,accepted,1623195365.0,1623192000.0,3365.0,0.085,151,2023-11-17T21:18:09,84.934447,84.934447,39.456366,-1.110156,0.535449,0.961489,0.338049,0.556272
8641460,42803,9999,accepted,1623193980.0,1623192000.0,1980.0,0.055,157,2023-12-03T04:19:47,54.902568,54.902568,30.882012,-0.768749,0.437512,0.952082,0.011125,0.444008
8707816,42803,9999,accepted,1623195179.0,1623192000.0,3179.0,0.042,141,2023-12-14T03:12:57,41.688436,41.688436,10.916891,-0.941984,0.738131,0.798753,0.6407,0.000166
8733468,42803,9999,accepted,1623195728.0,1623192000.0,3728.0,0.192,149,2023-12-18T06:01:03,191.926884,191.926884,23.215133,4.03749,0.879042,0.917661,0.935163,0.286871
8788317,42803,9999,borderline,1623196049.0,1623192000.0,4049.0,0.103,154,2023-12-28T02:06:29,103.05316,103.05316,46.321961,-1.374091,0.550504,0.982173,0.017846,0.668008
8814142,42803,9999,borderline,1623195010.0,1623192000.0,3010.0,0.064,156,2024-01-02T04:21:05,63.608433,63.608433,49.309021,-0.561453,0.224804,0.955947,0.248168,0.364807
8823291,42803,9999,rejected,1623196174.0,1623192000.0,4174.0,0.199,129,2024-01-04T01:33:15,199.113458,199.113458,84.073326,2.85941,0.577762,0.992429,0.020403,0.750814
9424971,42803,9999,accepted,1623196409.0,1623192000.0,4409.0,0.035,161,2024-04-25T17:47:15,35.157545,35.157545,32.889947,-0.197808,0.064498,0.961303,0.059496,0.546793
9462382,42803,9999,borderline,1623196692.0,1623192000.0,4692.0,0.179,141,2024-05-02T17:13:51,178.783676,178.783676,35.846446,-4.052513,0.799498,0.964889,0.001458,0.619707
