observation_id,N,residual_mean_hz,residual_std_hz,residual_rms_hz,residual_min_hz,residual_max_hz,residual_range_hz,slope_hz_per_s,detrended_std_hz,detrended_rms_hz,improvement_ratio,quick_judgement
8493026,146,-0.000397,85.519976,85.519976,-101.636000,175.110000,276.746000,-0.912524,55.950919,55.950919,0.345756,更像常数偏置 + 线性漂移 + 噪声
8535896,151,-0.000444,84.934447,84.934447,-95.396000,192.743000,288.139000,-1.110156,39.456366,39.456366,0.535449,更像常数偏置 + 线性漂移 + 噪声
8641460,157,-0.000223,54.902568,54.902568,-72.005000,111.976000,183.981000,-0.768749,30.882012,30.882012,0.437512,更像常数偏置 + 线性漂移 + 噪声
8707816,141,-0.000113,41.688436,41.688436,-77.158000,80.555000,157.713000,-0.941984,10.916891,10.916891,0.738131,更像常数偏置 + 线性漂移 + 噪声
8733468,149,0.000732,191.926884,191.926884,-340.971000,293.128000,634.099000,4.037490,23.215133,23.215133,0.879042,更像常数偏置 + 线性漂移 + 噪声
8788317,154,-0.000519,103.053160,103.053160,-106.244000,220.151000,326.395000,-1.374091,46.321961,46.321961,0.550504,更像常数偏置 + 线性漂移 + 噪声
8814142,156,-0.000295,63.608433,63.608433,-90.033000,158.560000,248.593000,-0.561453,49.309021,49.309021,0.224804,一阶线性项有一定作用，但一阶模型未必充分
8823291,129,0.001062,199.113458,199.113458,-418.920000,209.587000,628.507000,2.859410,84.073326,84.073326,0.577762,更像常数偏置 + 线性漂移 + 噪声
9424971,161,-0.000025,35.157545,35.157545,-63.222000,92.791000,156.013000,-0.197808,32.889947,32.889947,0.064498,一阶线性项有一定作用，但一阶模型未必充分
9462382,141,-0.000652,178.783676,178.783676,-241.909000,341.258000,583.167000,-4.052513,35.846446,35.846446,0.799498,更像常数偏置 + 线性漂移 + 噪声
