sample_group,parameter,symbol,source_field,count,min,max,mean,median,std,q25,q75,iqr
accepted,b_hz,b,registered_frequency_offset_hz,5,1980.000000,4409.000000,3332.200000,3365.000000,890.104881,3179.000000,3728.000000,549.000000
accepted,k_hz_per_s,k,linear_slope_hz_per_s,5,-1.110156,4.037490,0.203759,-0.768749,2.170462,-0.941984,-0.197808,0.744176
accepted,sigma_hz,sigma,detrended_std_hz,5,10.916891,39.456366,27.472070,30.882012,10.917874,23.215133,32.889947,9.674814
accepted_plus_borderline,b_hz,b,registered_frequency_offset_hz,9,1980.000000,4692.000000,3559.444444,3623.000000,810.526235,3179.000000,4049.000000,870.000000
accepted_plus_borderline,k_hz_per_s,k,linear_slope_hz_per_s,9,-4.052513,4.037490,-0.653532,-0.912524,2.081652,-1.110156,-0.561453,0.548703
accepted_plus_borderline,sigma_hz,sigma,detrended_std_hz,9,10.916891,55.950919,36.087633,35.846446,13.793542,30.882012,46.321961,15.439949
top10,b_hz,b,registered_frequency_offset_hz,10,1980.000000,4692.000000,3620.900000,3675.500000,788.495959,3225.500000,4142.750000,917.250000
top10,k_hz_per_s,k,linear_slope_hz_per_s,10,-4.052513,4.037490,-0.302238,-0.840637,2.255188,-1.068113,-0.288719,0.779394
top10,sigma_hz,sigma,detrended_std_hz,10,10.916891,84.073326,40.886202,37.651406,19.984601,31.383996,48.562256,17.178260
rejected,b_hz,b,registered_frequency_offset_hz,1,4174.000000,4174.000000,4174.000000,4174.000000,0.000000,4174.000000,4174.000000,0.000000
rejected,k_hz_per_s,k,linear_slope_hz_per_s,1,2.859410,2.859410,2.859410,2.859410,0.000000,2.859410,2.859410,0.000000
rejected,sigma_hz,sigma,detrended_std_hz,1,84.073326,84.073326,84.073326,84.073326,0.000000,84.073326,84.073326,0.000000
