GP_ID,NORAD_CAT_ID,OBJECT_NAME,EPOCH,CREATION_DATE,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,BSTAR,ELEMENT_SET_NO,TLE_LINE1,TLE_LINE2,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,ORIGINATOR,source,raw_file_path
331063388,39634,SENTINEL 1A,2026-06-24T07:02:12.683040,2026-06-24T10:04:28,14.59201169,0.00013748,98.1784,182.7222,81.6349,278.5007,0.00003471249100,999,1 39634U 14016A   26175.29320235  .00000118  00000-0  34712-4 0  9995,2 39634  98.1784 182.7222 0001375  81.6349 278.5007 14.59201169651059,TEME,UTC,SGP4,18 SPCS,Space-Track GP_HISTORY,data/orbit_uncertainty_pilot/raw/spacetrack_gp/sentinel1a_gp_history_20260624_20260702.json
331100710,39634,SENTINEL 1A,2026-06-25T04:25:52.093344,2026-06-25T08:16:36,14.59199317,0.00013900,98.1783,183.6006,82.5532,277.5825,-0.00007325800000,999,1 39634U 14016A   26176.18463071 -.00000391  00000-0 -73258-4 0  9993,2 39634  98.1783 183.6006 0001390  82.5532 277.5825 14.59199317651181,TEME,UTC,SGP4,18 SPCS,Space-Track GP_HISTORY,data/orbit_uncertainty_pilot/raw/spacetrack_gp/sentinel1a_gp_history_20260624_20260702.json
331163247,39634,SENTINEL 1A,2026-06-25T07:43:21.207072,2026-06-25T12:14:30,14.59199756,0.00013936,98.1783,183.7358,82.3746,277.7612,-0.00004442821300,999,1 39634U 14016A   26176.32177323 -.00000255  00000-0 -44428-4 0  9997,2 39634  98.1783 183.7358 0001394  82.3746 277.7612 14.59199756651207,TEME,UTC,SGP4,18 SPCS,Space-Track GP_HISTORY,data/orbit_uncertainty_pilot/raw/spacetrack_gp/sentinel1a_gp_history_20260624_20260702.json
331198846,39634,SENTINEL 1A,2026-06-25T14:18:19.488096,2026-06-25T17:53:29,14.59199618,0.00013953,98.1782,184.0059,81.1871,278.9486,-0.00003823082000,999,1 39634U 14016A   26176.59605889 -.00000226  00000-0 -38231-4 0  9992,2 39634  98.1782 184.0059 0001395  81.1871 278.9486 14.59199618651248,TEME,UTC,SGP4,18 SPCS,Space-Track GP_HISTORY,data/orbit_uncertainty_pilot/raw/spacetrack_gp/sentinel1a_gp_history_20260624_20260702.json
331263117,39634,SENTINEL 1A,2026-06-25T17:35:48.650208,2026-06-25T21:26:35,14.59198932,0.00013920,98.1783,184.1410,81.8714,278.2644,-0.00007543600000,999,1 39634U 14016A   26176.73320197 -.00000401  00000-0 -75436-4 0  9997,2 39634  98.1783 184.1410 0001392  81.8714 278.2644 14.59198932651260,TEME,UTC,SGP4,18 SPCS,Space-Track GP_HISTORY,data/orbit_uncertainty_pilot/raw/spacetrack_gp/sentinel1a_gp_history_20260624_20260702.json
331326696,39634,SENTINEL 1A,2026-06-25T20:53:17.762208,2026-06-25T22:36:36,14.59199347,0.00013910,98.1783,184.2761,82.2436,277.8922,-0.00005007000000,999,1 39634U 14016A   26176.87034447 -.00000282  00000-0 -50070-4 0  9996,2 39634  98.1783 184.2761 0001391  82.2436 277.8922 14.59199347651282,TEME,UTC,SGP4,18 SPCS,Space-Track GP_HISTORY,data/orbit_uncertainty_pilot/raw/spacetrack_gp/sentinel1a_gp_history_20260624_20260702.json
331380010,39634,SENTINEL 1A,2026-06-26T03:28:15.993984,2026-06-26T07:26:51,14.59199694,0.00013700,98.1781,184.5464,83.0517,277.0838,-0.00003469400000,999,1 39634U 14016A   26177.14462956 -.00000209  00000-0 -34694-4 0  9990,2 39634  98.1781 184.5464 0001370  83.0517 277.0838 14.59199694651327,TEME,UTC,SGP4,18 SPCS,Space-Track GP_HISTORY,data/orbit_uncertainty_pilot/raw/spacetrack_gp/sentinel1a_gp_history_20260624_20260702.json
331443337,39634,SENTINEL 1A,2026-06-26T06:45:45.117216,2026-06-26T10:50:41,14.59199885,0.00013680,98.1782,184.6816,83.1396,276.9959,-0.00002445199400,999,1 39634U 14016A   26177.28177219 -.00000161  00000-0 -24452-4 0  9998,2 39634  98.1782 184.6816 0001368  83.1396 276.9959 14.59199885651349,TEME,UTC,SGP4,18 SPCS,Space-Track GP_HISTORY,data/orbit_uncertainty_pilot/raw/spacetrack_gp/sentinel1a_gp_history_20260624_20260702.json
331478491,39634,SENTINEL 1A,2026-06-26T14:59:27.917088,2026-06-26T18:09:45,14.59200905,0.00013860,98.1780,185.0193,81.5511,278.5846,0.00004302146900,999,1 39634U 14016A   26177.62462867  .00000157  00000-0  43021-4 0  9998,2 39634  98.1780 185.0193 0001386  81.5511 278.5846 14.59200905651395,TEME,UTC,SGP4,18 SPCS,Space-Track GP_HISTORY,data/orbit_uncertainty_pilot/raw/spacetrack_gp/sentinel1a_gp_history_20260624_20260702.json
331548558,39634,SENTINEL 1A,2026-06-26T18:16:57.074880,2026-06-26T20:26:37,14.59200339,0.00013920,98.1780,185.1545,82.9433,277.1925,0.00001518500000,999,1 39634U 14016A   26177.76177170  .00000026  00000-0  15185-4 0  9998,2 39634  98.1780 185.1545 0001392  82.9433 277.1925 14.59200339651419,TEME,UTC,SGP4,18 SPCS,Space-Track GP_HISTORY,data/orbit_uncertainty_pilot/raw/spacetrack_gp/sentinel1a_gp_history_20260624_20260702.json
