reference_epoch,tai_epoch_raw,ut1_epoch_raw,x,y,z,vx,vy,vz,position_unit,velocity_unit,absolute_orbit,quality,reference_frame_raw,time_scale_raw,source_product,reference_type,reference_quality
2026-06-27T22:59:42Z,TAI=2026-06-27T23:00:19.000000,UT1=2026-06-27T22:59:42.012630,-2085240.861459,6368601.834486,2265174.69071,792.455616,2771.290209,-7029.667183,m,m/s,+65161,NOMINAL,EARTH_FIXED,UTC,S1A_OPER_AUX_POEORB_OPOD_20260718T070712_V20260627T225942_20260629T005942.EOF,independent_precise_reference_orbit,Sentinel-1A AUX_POEORB NOMINAL
2026-06-27T22:59:52Z,TAI=2026-06-27T23:00:29.000000,UT1=2026-06-27T22:59:52.012630,-2077179.500535,6395951.251093,2194751.378753,819.783803,2698.535385,-7054.862625,m,m/s,+65161,NOMINAL,EARTH_FIXED,UTC,S1A_OPER_AUX_POEORB_OPOD_20260718T070712_V20260627T225942_20260629T005942.EOF,independent_precise_reference_orbit,Sentinel-1A AUX_POEORB NOMINAL
2026-06-27T23:00:02Z,TAI=2026-06-27T23:00:39.000000,UT1=2026-06-27T23:00:02.012630,-2068845.846607,6422571.401414,2124080.095519,846.91362,2625.438377,-7079.26097,m,m/s,+65161,NOMINAL,EARTH_FIXED,UTC,S1A_OPER_AUX_POEORB_OPOD_20260718T070712_V20260627T225942_20260629T005942.EOF,independent_precise_reference_orbit,Sentinel-1A AUX_POEORB NOMINAL
2026-06-27T23:00:12Z,TAI=2026-06-27T23:00:49.000000,UT1=2026-06-27T23:00:12.012630,-2060241.901211,6448458.906402,2053168.825956,873.841507,2552.00775,-7102.859439,m,m/s,+65161,NOMINAL,EARTH_FIXED,UTC,S1A_OPER_AUX_POEORB_OPOD_20260718T070712_V20260627T225942_20260629T005942.EOF,independent_precise_reference_orbit,Sentinel-1A AUX_POEORB NOMINAL
2026-06-27T23:00:22Z,TAI=2026-06-27T23:00:59.000000,UT1=2026-06-27T23:00:22.012630,-2051369.701299,6473610.472896,1982025.582336,900.563941,2478.252114,-7125.655344,m,m/s,+65161,NOMINAL,EARTH_FIXED,UTC,S1A_OPER_AUX_POEORB_OPOD_20260718T070712_V20260627T225942_20260629T005942.EOF,independent_precise_reference_orbit,Sentinel-1A AUX_POEORB NOMINAL
2026-06-27T23:00:32Z,TAI=2026-06-27T23:01:09.000000,UT1=2026-06-27T23:00:32.012630,-2042231.318874,6498022.894046,1910658.403324,927.077432,2404.180124,-7147.646093,m,m/s,+65161,NOMINAL,EARTH_FIXED,UTC,S1A_OPER_AUX_POEORB_OPOD_20260718T070712_V20260627T225942_20260629T005942.EOF,independent_precise_reference_orbit,Sentinel-1A AUX_POEORB NOMINAL
2026-06-27T23:00:42Z,TAI=2026-06-27T23:01:19.000000,UT1=2026-06-27T23:00:42.012630,-2032828.860638,6521693.049746,1839075.353061,953.378531,2329.800474,-7168.829185,m,m/s,+65161,NOMINAL,EARTH_FIXED,UTC,S1A_OPER_AUX_POEORB_OPOD_20260718T070712_V20260627T225942_20260629T005942.EOF,independent_precise_reference_orbit,Sentinel-1A AUX_POEORB NOMINAL
2026-06-27T23:00:52Z,TAI=2026-06-27T23:01:29.000000,UT1=2026-06-27T23:00:52.012630,-2023164.467623,6544617.907048,1767284.520228,979.463821,2255.121902,-7189.202211,m,m/s,+65161,NOMINAL,EARTH_FIXED,UTC,S1A_OPER_AUX_POEORB_OPOD_20260718T070712_V20260627T225942_20260629T005942.EOF,independent_precise_reference_orbit,Sentinel-1A AUX_POEORB NOMINAL
2026-06-27T23:01:02Z,TAI=2026-06-27T23:01:39.000000,UT1=2026-06-27T23:01:02.012630,-2013240.314831,6566794.52058,1695294.017122,1005.329925,2180.153186,-7208.76286,m,m/s,+65161,NOMINAL,EARTH_FIXED,UTC,S1A_OPER_AUX_POEORB_OPOD_20260718T070712_V20260627T225942_20260629T005942.EOF,independent_precise_reference_orbit,Sentinel-1A AUX_POEORB NOMINAL
2026-06-27T23:01:12Z,TAI=2026-06-27T23:01:49.000000,UT1=2026-06-27T23:01:12.012630,-2003058.610851,6588220.032936,1623111.978709,1030.973504,2104.903142,-7227.50891,m,m/s,+65161,NOMINAL,EARTH_FIXED,UTC,S1A_OPER_AUX_POEORB_OPOD_20260718T070712_V20260627T225942_20260629T005942.EOF,independent_precise_reference_orbit,Sentinel-1A AUX_POEORB NOMINAL
2026-06-27T23:01:22Z,TAI=2026-06-27T23:01:59.000000,UT1=2026-06-27T23:01:22.012630,-1992621.597487,6608891.67508,1550746.561675,1056.391255,2029.380625,-7245.438238,m,m/s,+65161,NOMINAL,EARTH_FIXED,UTC,S1A_OPER_AUX_POEORB_OPOD_20260718T070712_V20260627T225942_20260629T005942.EOF,independent_precise_reference_orbit,Sentinel-1A AUX_POEORB NOMINAL
2026-06-27T23:01:32Z,TAI=2026-06-27T23:02:09.000000,UT1=2026-06-27T23:01:32.012630,-1981931.549368,6628806.766712,1478205.943477,1081.579915,1953.594525,-7262.548815,m,m/s,+65161,NOMINAL,EARTH_FIXED,UTC,S1A_OPER_AUX_POEORB_OPOD_20260718T070712_V20260627T225942_20260629T005942.EOF,independent_precise_reference_orbit,Sentinel-1A AUX_POEORB NOMINAL
2026-06-27T23:01:42Z,TAI=2026-06-27T23:02:19.000000,UT1=2026-06-27T23:01:42.012630,-1970990.773554,6647962.716626,1405498.321385,1106.536261,1877.553771,-7278.838705,m,m/s,+65161,NOMINAL,EARTH_FIXED,UTC,S1A_OPER_AUX_POEORB_OPOD_20260718T070712_V20260627T225942_20260629T005942.EOF,independent_precise_reference_orbit,Sentinel-1A AUX_POEORB NOMINAL
2026-06-27T23:01:52Z,TAI=2026-06-27T23:02:29.000000,UT1=2026-06-27T23:01:52.012630,-1959801.609141,6666357.02305,1332631.91152,1131.257109,1801.267321,-7294.306072,m,m/s,+65161,NOMINAL,EARTH_FIXED,UTC,S1A_OPER_AUX_POEORB_OPOD_20260718T070712_V20260627T225942_20260629T005942.EOF,independent_precise_reference_orbit,Sentinel-1A AUX_POEORB NOMINAL
2026-06-27T23:02:02Z,TAI=2026-06-27T23:02:39.000000,UT1=2026-06-27T23:02:02.012630,-1948366.426866,6683987.273984,1259614.947902,1155.739313,1724.744169,-7308.949172,m,m/s,+65161,NOMINAL,EARTH_FIXED,UTC,S1A_OPER_AUX_POEORB_OPOD_20260718T070712_V20260627T225942_20260629T005942.EOF,independent_precise_reference_orbit,Sentinel-1A AUX_POEORB NOMINAL
2026-06-27T23:02:12Z,TAI=2026-06-27T23:02:49.000000,UT1=2026-06-27T23:02:12.012630,-1936687.628708,6700851.147501,1186455.681504,1179.97977,1647.993341,-7322.766359,m,m/s,+65161,NOMINAL,EARTH_FIXED,UTC,S1A_OPER_AUX_POEORB_OPOD_20260718T070712_V20260627T225942_20260629T005942.EOF,independent_precise_reference_orbit,Sentinel-1A AUX_POEORB NOMINAL
