norad_cat_id,object_name,evaluation_time,freshness_role,comparison_name,propagation_model_ordinary,propagation_model_supgp,native_output_frame_both,common_frame,delta_R_km,delta_T_km,delta_N_km,delta_v_R_km_s,delta_v_T_km_s,delta_v_N_km_s,position_error_norm_km,velocity_error_norm_km_s,teme_position_disagreement_norm_km,teme_velocity_disagreement_norm_km_s,gp_age_seconds,ordinary_gp_epoch,ordinary_gp_creation_date,ordinary_gp_id,supgp_epoch,supgp_source,supgp_fit_rms_km,supgp_element_set_no,causal_creation_date_ok,reference_type
65409,STARLINK-35022,2026-03-14T18:59:41.999971Z,freshest,ordinary-GP prediction disagreement relative to operator-derived SupGP reference,SGP4,SGP4,TEME,GCRS,0.3223559549890797,4.141829403699559,0.05541549700140566,-0.003760607949287455,-0.0005593543854414147,3.501694467123806e-05,4.154724425082255,0.0038021409315240613,4.154724425082802,0.0038021409391555735,18495.613699,2026-03-14T13:51:26.386272Z,2026-03-14T17:28:19Z,315971218,2026-03-14T18:59:41.999971Z,SpaceX-E,0.339,73,True,operator-derived higher-quality SupGP reference; not precise truth
65409,STARLINK-35022,2026-03-11T20:30:42.000019Z,lower_middle,ordinary-GP prediction disagreement relative to operator-derived SupGP reference,SGP4,SGP4,TEME,GCRS,-0.3619404730348561,8.674594454381994,-0.008805777921889302,-0.009818515616716258,0.00027025584783036197,-0.0007197877188922612,8.682146473985588,0.009848572561506345,8.682146473985414,0.009848572573003098,35481.717619,2026-03-11T10:39:20.282400Z,2026-03-11T16:36:27Z,315630826,2026-03-11T20:30:42.000019Z,SpaceX-E,0.301,70,True,operator-derived higher-quality SupGP reference; not precise truth
65409,STARLINK-35022,2026-03-12T10:06:41.999962Z,upper_middle,ordinary-GP prediction disagreement relative to operator-derived SupGP reference,SGP4,SGP4,TEME,GCRS,-0.40456994891863585,13.481263111399873,0.10675751752134843,-0.014898492189327013,0.0001290331032225468,0.00018733938355020734,13.48775478313223,0.014900228692936033,13.48775478313238,0.014900228708514826,50601.19369,2026-03-11T20:03:20.806272Z,2026-03-12T03:14:55Z,315679331,2026-03-12T10:06:41.999962Z,SpaceX-E,0.417,71,True,operator-derived higher-quality SupGP reference; not precise truth
65409,STARLINK-35022,2026-03-14T11:01:42.000010Z,stalest,ordinary-GP prediction disagreement relative to operator-derived SupGP reference,SGP4,SGP4,TEME,GCRS,-0.1469721190990012,13.358474659936697,0.041455454224250676,-0.014338043106883282,1.1734145250073044e-05,9.541574988817907e-06,13.359347461558453,0.014338051083277013,13.359347461558277,0.014338051091458024,91335.708778,2026-03-13T09:39:26.291232Z,2026-03-13T18:22:46Z,315873409,2026-03-14T11:01:42.000010Z,SpaceX-E,0.409,73,True,operator-derived higher-quality SupGP reference; not precise truth
65410,STARLINK-35024,2026-03-14T18:58:42.000010Z,freshest,ordinary-GP prediction disagreement relative to operator-derived SupGP reference,SGP4,SGP4,TEME,GCRS,-0.30256475545537154,0.913696132113017,0.10822871694633304,-0.0011175143232188753,0.00019092831113411995,-8.55702206309911e-05,0.9685553718058177,0.0011369319000057586,0.9685553718065232,0.0011369318992848908,12838.048042,2026-03-14T15:24:43.951968Z,2026-03-14T17:28:19Z,315971719,2026-03-14T18:58:42.000010Z,SpaceX-E,0.315,73,True,operator-derived higher-quality SupGP reference; not precise truth
65410,STARLINK-35024,2026-03-12T02:12:42.000019Z,lower_middle,ordinary-GP prediction disagreement relative to operator-derived SupGP reference,SGP4,SGP4,TEME,GCRS,0.3566354336908422,0.7586660954988127,0.054769816626477896,-0.0007565418159324968,-0.00030616594119758,0.00019967280306835148,0.8400969050273706,0.000840215645586901,0.8400969050291452,0.0008402156454468528,33481.969747,2026-03-11T16:54:40.030272Z,2026-03-11T23:06:40Z,315648263,2026-03-12T02:12:42.000019Z,SpaceX-E,0.269,71,True,operator-derived higher-quality SupGP reference; not precise truth
65410,STARLINK-35024,2026-03-14T02:52:42.000038Z,upper_middle,ordinary-GP prediction disagreement relative to operator-derived SupGP reference,SGP4,SGP4,TEME,GCRS,-0.8657223696764135,14.539673688517178,0.20225017201761197,-0.016622671154930053,0.0006357186341632063,-2.6827800304706612e-05,14.566828457903869,0.016634844581108508,14.566828457903757,0.01663484459359337,56398.652006,2026-03-13T11:12:43.348032Z,2026-03-13T18:22:46Z,315872910,2026-03-14T02:52:42.000038Z,SpaceX-E,0.277,73,True,operator-derived higher-quality SupGP reference; not precise truth
65410,STARLINK-35024,2026-03-11T20:26:42Z,stalest,ordinary-GP prediction disagreement relative to operator-derived SupGP reference,SGP4,SGP4,TEME,GCRS,-0.22282240466437142,29.30041257042228,0.17851513845997458,-0.03312865317529093,-8.353604147135721e-05,-0.0003863673046527842,29.301803601069334,0.0331310114420469,29.3018036010688,0.033131011491208846,97323.974496,2026-03-10T17:24:38.025504Z,2026-03-11T02:43:10Z,315555532,2026-03-11T20:26:42Z,SpaceX-E,0.391,70,True,operator-derived higher-quality SupGP reference; not precise truth
65411,STARLINK-34983,2026-03-08T03:02:42Z,freshest,ordinary-GP prediction disagreement relative to operator-derived SupGP reference,SGP4,SGP4,TEME,GCRS,0.13538714929019158,-0.09073155357882891,-0.004394342200162452,0.00019309937467180353,-0.00011135884720701685,3.190730052879032e-05,0.1630374351218905,0.00022518045469567698,0.1630374351225073,0.0002251804564028657,10960.000704,2026-03-08T00:00:01.999296Z,2026-03-08T02:56:41Z,315202785,2026-03-08T03:02:42Z,SpaceX-E,0.286,67,True,operator-derived higher-quality SupGP reference; not precise truth
65411,STARLINK-34983,2026-03-09T17:41:42.000029Z,lower_middle,ordinary-GP prediction disagreement relative to operator-derived SupGP reference,SGP4,SGP4,TEME,GCRS,0.03773422677295757,4.452780910187039,0.11820822594933422,-0.005109526677714225,-0.00010828876719374842,0.00013698378017968358,4.454509500571118,0.0051125095484904496,4.454509500571463,0.005112509564722248,22842.811037,2026-03-09T11:20:59.188992Z,2026-03-09T15:16:47Z,315355813,2026-03-09T17:41:42.000029Z,SpaceX-E,0.332,68,True,operator-derived higher-quality SupGP reference; not precise truth
65411,STARLINK-34983,2026-03-14T02:50:42.000029Z,upper_middle,ordinary-GP prediction disagreement relative to operator-derived SupGP reference,SGP4,SGP4,TEME,GCRS,-0.07359087783527407,-2.7803671494695954,0.039134003153183605,0.0030224337350398898,9.293633371791252e-05,-7.738514596304863e-05,2.781616180092617,0.003024852278318369,2.7816161800924206,0.003024852278753867,46240.999805,2026-03-13T14:00:01.000224Z,2026-03-13T18:22:46Z,315873410,2026-03-14T02:50:42.000029Z,SpaceX-E,0.329,73,True,operator-derived higher-quality SupGP reference; not precise truth
