NORAD_CAT_ID,OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,RMS,DATA_SOURCE,fit_rms_km,semi_major_axis_proxy_km,reference_type,reference_quality,raw_file_path
65409,STARLINK-35022,2025-192F,2026-03-08T02:54:41.999962,15.310138,0.0001178,53.1586,239.599,95.2366,301.0608,0,C,67,1,0.00068754,0.0002094,0,0.473,SpaceX-E,0.473,6850.923285684378,operator-derived SupGP reference,SGP4 fit to source ephemeris; not precise truth,data/orbit_uncertainty_pilot/raw/celestrak_supgp/sat000065409.csv
65409,STARLINK-35022,2025-192F,2026-03-08T10:05:42.000000,15.31001313,0.0001294,53.1584,238.207,96.1748,150.725,0,C,67,1,2.0812e-05,6.3321e-06,0,0.406,SpaceX-E,0.406,6850.9605368445855,operator-derived SupGP reference,SGP4 fit to source ephemeris; not precise truth,data/orbit_uncertainty_pilot/raw/celestrak_supgp/sat000065409.csv
65409,STARLINK-35022,2025-192F,2026-03-08T17:48:42.000019,15.31104837,9.34e-05,53.1583,236.7119,83.1763,136.8175,0,C,67,1,-0.0011225,-0.00034225,0,1.146,SpaceX-E,1.146,6850.651719832574,operator-derived SupGP reference,SGP4 fit to source ephemeris; not precise truth,data/orbit_uncertainty_pilot/raw/celestrak_supgp/sat000065409.csv
65409,STARLINK-35022,2025-192F,2026-03-09T01:52:42.000010,15.31094525,9.7e-05,53.1581,235.1487,77.8875,195.7394,0,C,68,1,-0.0022496,-0.00068498,0,0.533,SpaceX-E,0.533,6850.682479458051,operator-derived SupGP reference,SGP4 fit to source ephemeris; not precise truth,data/orbit_uncertainty_pilot/raw/celestrak_supgp/sat000065409.csv
65409,STARLINK-35022,2025-192F,2026-03-09T10:05:42.000000,15.30996625,9.95e-05,53.158,233.5564,69.3374,292.4152,0,C,68,1,0.00038928,0.00011847,0,0.295,SpaceX-E,0.295,6850.974522195078,operator-derived SupGP reference,SGP4 fit to source ephemeris; not precise truth,data/orbit_uncertainty_pilot/raw/celestrak_supgp/sat000065409.csv
65409,STARLINK-35022,2025-192F,2026-03-09T17:37:42.000010,15.31036149,0.0001026,53.1579,232.0966,71.3801,221.3731,0,C,68,1,-0.00022831,-6.9524e-05,0,0.551,SpaceX-E,0.551,6850.856615515893,operator-derived SupGP reference,SGP4 fit to source ephemeris; not precise truth,data/orbit_uncertainty_pilot/raw/celestrak_supgp/sat000065409.csv
65409,STARLINK-35022,2025-192F,2026-03-10T10:09:42.000019,15.30992773,0.0001004,53.1578,228.8928,77.2337,54.5953,0,C,69,1,0.00063791,0.00019415,0,0.267,SpaceX-E,0.267,6850.98601362437,operator-derived SupGP reference,SGP4 fit to source ephemeris; not precise truth,data/orbit_uncertainty_pilot/raw/celestrak_supgp/sat000065409.csv
65409,STARLINK-35022,2025-192F,2026-03-11T02:10:42.000010,15.3103761,9.48e-05,53.1578,225.7892,80.8721,131.2744,0,C,70,1,-0.00052413,-0.00015957,0,0.321,SpaceX-E,0.321,6850.852257206627,operator-derived SupGP reference,SGP4 fit to source ephemeris; not precise truth,data/orbit_uncertainty_pilot/raw/celestrak_supgp/sat000065409.csv
65409,STARLINK-35022,2025-192F,2026-03-11T09:53:42.000029,15.31034021,9.39e-05,53.1578,224.2938,87.4701,97.8513,0,C,70,1,-0.00046362,-0.00014114,0,0.296,SpaceX-E,0.296,6850.862963565339,operator-derived SupGP reference,SGP4 fit to source ephemeris; not precise truth,data/orbit_uncertainty_pilot/raw/celestrak_supgp/sat000065409.csv
65409,STARLINK-35022,2025-192F,2026-03-11T20:30:42.000019,15.31027405,9.92e-05,53.1579,222.2364,87.881,16.9857,0,C,70,1,-0.00028908,-8.7999e-05,0,0.301,SpaceX-E,0.301,6850.882699888183,operator-derived SupGP reference,SGP4 fit to source ephemeris; not precise truth,data/orbit_uncertainty_pilot/raw/celestrak_supgp/sat000065409.csv
65409,STARLINK-35022,2025-192F,2026-03-12T02:15:41.999990,15.30976224,8.11e-05,53.158,221.1221,72.379,273.7551,0,C,71,1,-0.00025068,-7.6193e-05,0,0.73,SpaceX-E,0.73,6851.035383763286,operator-derived SupGP reference,SGP4 fit to source ephemeris; not precise truth,data/orbit_uncertainty_pilot/raw/celestrak_supgp/sat000065409.csv
