OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,RMS,DATA_SOURCE
STARLINK-35024,2025-192G,2026-03-08T02:55:42.000010,15.31023393,.0001122,53.1584,239.5902,82.6354,320.1488,0,C,65410,67,1,.8798E-4,.26789E-4,0,0.282,SpaceX-E
STARLINK-35024,2025-192G,2026-03-08T10:06:41.999962,15.31024864,.0001098,53.1582,238.1983,85.0509,168.3339,0,C,65410,67,1,.49418E-5,.15047E-5,0,0.293,SpaceX-E
STARLINK-35024,2025-192G,2026-03-08T17:49:41.999981,15.31051719,.0001017,53.1581,236.7030,85.3480,141.1790,0,C,65410,67,1,-.17334E-3,-.52813E-4,0,0.602,SpaceX-E
STARLINK-35024,2025-192G,2026-03-09T01:55:41.999981,15.31075189,.000098,53.1580,235.1334,90.3791,197.4014,0,C,65410,68,1,-.14691E-2,-.44737E-3,0,0.383,SpaceX-E
STARLINK-35024,2025-192G,2026-03-09T10:01:41.999981,15.31007595,.0000965,53.1579,233.5638,96.8342,252.2402,0,C,65410,68,1,.10547E-3,.32099E-4,0,0.294,SpaceX-E
STARLINK-35024,2025-192G,2026-03-09T17:45:41.999962,15.31002201,.0000932,53.1578,232.0652,96.8469,229.1958,0,C,65410,68,1,.44135E-3,.13434E-3,0,0.256,SpaceX-E
STARLINK-35024,2025-192G,2026-03-10T10:17:41.999971,15.31037697,.0000873,53.1577,228.8616,90.1029,74.9647,0,C,65410,69,1,-.25405E-3,-.77363E-4,0,0.339,SpaceX-E
STARLINK-35024,2025-192G,2026-03-11T02:08:42.000000,15.31022825,.0000838,53.1577,225.7901,81.9980,125.1350,0,C,65410,70,1,.28414E-3,.86531E-4,0,0.295,SpaceX-E
STARLINK-35024,2025-192G,2026-03-11T09:48:41.999962,15.30943656,.0001054,53.1577,224.3044,68.6232,100.2044,0,C,65410,70,1,.14539E-2,.44216E-3,0,0.760,SpaceX-E
STARLINK-35024,2025-192G,2026-03-11T20:26:42.000000,15.30984953,.0001113,53.1578,222.2440,64.4531,27.6166,0,C,65410,70,1,.13447E-2,.40942E-3,0,0.391,SpaceX-E
STARLINK-35024,2025-192G,2026-03-12T02:12:42.000019,15.31018027,.0001112,53.1579,221.1266,60.7782,276.3387,0,C,65410,71,1,.84586E-3,.25769E-3,0,0.269,SpaceX-E
STARLINK-35024,2025-192G,2026-03-12T10:06:41.999962,15.31038887,.0001123,53.1580,219.5957,59.1280,293.2677,0,C,65410,71,1,.80782E-3,.24626E-3,0,0.266,SpaceX-E
STARLINK-35024,2025-192G,2026-03-12T15:57:41.999962,15.31001210,.0001045,53.1581,218.4620,47.7699,208.8809,0,C,65410,71,1,.11297E-2,.34408E-3,0,0.293,SpaceX-E
STARLINK-35024,2025-192G,2026-03-13T01:51:41.999962,15.31040985,.0001084,53.1582,216.5436,46.2704,325.2053,0,C,65410,72,1,.67158E-3,.20471E-3,0,0.366,SpaceX-E
STARLINK-35024,2025-192G,2026-03-13T10:06:41.999962,15.31168063,.0000904,53.1584,214.9447,64.8716,42.3425,0,C,65410,72,1,-.3433E-2,-.10465E-2,0,0.690,SpaceX-E
STARLINK-35024,2025-192G,2026-03-13T21:17:42.000029,15.31000698,.0000785,53.1587,212.7773,79.2171,77.9208,0,C,65410,72,1,.2521E-3,.76718E-4,0,0.378,SpaceX-E
STARLINK-35024,2025-192G,2026-03-14T02:52:42.000038,15.30998143,.0000788,53.1588,211.6953,83.2765,276.7956,0,C,65410,73,1,.3964E-3,.12064E-3,0,0.277,SpaceX-E
STARLINK-35024,2025-192G,2026-03-14T10:59:42.000000,15.31035374,.0000909,53.1590,210.1224,83.8538,341.2556,0,C,65410,73,1,-.54367E-3,-.1655E-3,0,0.359,SpaceX-E
STARLINK-35024,2025-192G,2026-03-14T18:58:42.000010,15.30984929,.0000975,53.1592,208.5754,83.3287,16.2302,0,C,65410,73,1,.10038E-2,.30553E-3,0,0.315,SpaceX-E
