OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,RMS,DATA_SOURCE
STARLINK-2103,2021-005AL,2026-06-01T00:57:41.999962,15.33513029,.0000893,53.1603,346.3979,239.8546,309.0337,0,C,47383,152,1,.31064E-2,.10242E-2,0,0.352,SpaceX-E
STARLINK-2103,2021-005AL,2026-06-01T02:36:41.999962,15.33575465,.0000786,53.1602,346.0765,246.5488,322.0843,0,C,47383,152,1,.17219E-2,.56843E-3,0,0.366,SpaceX-E
STARLINK-2103,2021-005AL,2026-06-01T03:53:42.000029,15.33605952,.0000776,53.1603,345.8264,245.9918,258.0124,0,C,47383,152,1,.26558E-3,.8769E-4,0,0.290,SpaceX-E
STARLINK-2103,2021-005AL,2026-06-01T05:55:42.000010,15.33620449,.0000805,53.1604,345.4304,244.6182,7.3931,0,C,47383,152,1,-.45204E-3,-.14927E-3,0,0.235,SpaceX-E
STARLINK-2103,2021-005AL,2026-06-01T07:58:42.000038,15.33596990,.0000847,53.1604,345.0311,240.0399,123.8300,0,C,47383,152,1,.11387E-2,.37604E-3,0,0.242,SpaceX-E
STARLINK-2103,2021-005AL,2026-06-01T12:45:41.999990,15.33615896,.00008,53.1605,344.1002,238.3053,146.5415,0,C,47383,152,1,.99976E-3,.33034E-3,0,0.182,SpaceX-E
STARLINK-2103,2021-005AL,2026-06-01T14:42:41.999990,15.33637130,.0000766,53.1606,343.7212,240.5213,233.1564,0,C,47383,152,1,-.12166E-3,-.40204E-4,0,0.181,SpaceX-E
STARLINK-2103,2021-005AL,2026-06-01T17:03:42.000019,15.33641876,.0000742,53.1605,343.2647,248.7530,45.8331,0,C,47383,152,1,-.46301E-3,-.153E-3,0,0.165,SpaceX-E
STARLINK-2103,2021-005AL,2026-06-01T18:40:42.000010,15.33636566,.0000705,53.1604,342.9506,255.1540,51.5490,0,C,47383,152,1,-.20866E-3,-.68946E-4,0,0.158,SpaceX-E
STARLINK-2103,2021-005AL,2026-06-01T22:19:41.999981,15.33613230,.0000727,53.1607,342.2411,262.3566,164.4878,0,C,47383,152,1,.16264E-2,.53751E-3,0,0.159,SpaceX-E
STARLINK-2103,2021-005AL,2026-06-02T00:24:42.000019,15.33617687,.0000758,53.1604,341.8356,266.2589,280.1123,0,C,47383,153,1,.18977E-2,.62736E-3,0,0.140,SpaceX-E
STARLINK-2103,2021-005AL,2026-06-02T02:28:42.000010,15.33644919,.0000786,53.1603,341.4330,265.1186,36.9386,0,C,47383,153,1,.63057E-3,.2085E-3,0,0.179,SpaceX-E
