OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,RMS,DATA_SOURCE
STARLINK-30915,2023-178G,2026-04-01T01:20:42.000029,15.30181443,.0001264,53.1604,167.4465,102.6841,150.6893,0,C,58380,91,1,.10345E-2,.30698E-3,0,0.237,SpaceX-E
STARLINK-30915,2023-178G,2026-04-01T04:22:42.000038,15.30181235,.0001331,53.1604,166.8593,105.1363,124.8630,0,C,58380,91,1,.15709E-2,.46627E-3,0,0.178,SpaceX-E
STARLINK-30915,2023-178G,2026-04-01T07:25:42.000010,15.30215053,.0001339,53.1606,166.2698,102.4591,107.9865,0,C,58380,91,1,-.54161E-3,-.16077E-3,0,0.258,SpaceX-E
STARLINK-30915,2023-178G,2026-04-01T10:28:41.999981,15.30229698,.0001293,53.1605,165.6802,94.0684,96.8369,0,C,58380,91,1,-.23367E-2,-.69338E-3,0,0.249,SpaceX-E
STARLINK-30915,2023-178G,2026-04-01T13:20:42.000029,15.30199903,.0001285,53.1607,165.1260,88.2912,40.9794,0,C,58380,91,1,-.7154E-3,-.21225E-3,0,0.307,SpaceX-E
STARLINK-30915,2023-178G,2026-04-01T16:33:41.999962,15.30162513,.0001247,53.1605,164.5035,82.2079,65.8052,0,C,58380,91,1,.21253E-2,.63064E-3,0,0.166,SpaceX-E
STARLINK-30915,2023-178G,2026-04-01T19:37:41.999981,15.30207437,.0001248,53.1604,163.9092,85.2730,47.0055,0,C,58380,91,1,-.67638E-3,-.20072E-3,0,0.237,SpaceX-E
STARLINK-30915,2023-178G,2026-04-01T22:19:41.999981,15.30210879,.0001217,53.1606,163.3860,91.2851,301.0704,0,C,58380,91,1,-.12907E-2,-.38295E-3,0,0.241,SpaceX-E
STARLINK-30915,2023-178G,2026-04-01T23:46:42.000010,15.30193130,.0001195,53.1605,163.1051,94.1125,271.2533,0,C,58380,91,1,-.19927E-3,-.5912E-4,0,0.257,SpaceX-E
STARLINK-30915,2023-178G,2026-04-02T02:49:41.999981,15.30169626,.0001221,53.1602,162.5144,96.8026,249.0244,0,C,58380,92,1,.15349E-2,.45543E-3,0,0.175,SpaceX-E
STARLINK-30915,2023-178G,2026-04-02T05:42:41.999990,15.30190039,.0001225,53.1605,161.9567,97.0605,190.9352,0,C,58380,92,1,.93131E-3,.27643E-3,0,0.169,SpaceX-E
STARLINK-30915,2023-178G,2026-04-02T08:52:42.000038,15.30223030,.0001217,53.1604,161.3447,92.9604,202.2790,0,C,58380,92,1,-.14341E-2,-.42565E-3,0,0.212,SpaceX-E
STARLINK-30915,2023-178G,2026-04-02T12:59:41.999971,15.30209108,.0001249,53.1605,160.5488,88.2479,72.4318,0,C,58380,92,1,-.3337E-3,-.99049E-4,0,0.257,SpaceX-E
