OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,RMS,DATA_SOURCE
STARLINK-2705,2021-044AL,2026-05-01T02:23:42.000029,15.31691657,.0000927,53.1581,220.6663,95.3119,229.6821,0,C,48672,121,1,.41052E-3,.12764E-3,0,0.359,SpaceX-E
STARLINK-2705,2021-044AL,2026-05-01T04:21:41.999990,15.31724166,.000103,53.1581,220.2845,94.1443,322.9440,0,C,48672,121,1,-.31957E-2,-.99293E-3,0,0.497,SpaceX-E
STARLINK-2705,2021-044AL,2026-05-01T05:57:42.000019,15.31741440,.0001162,53.1582,219.9742,95.9496,328.9458,0,C,48672,121,1,-.53014E-2,-.16464E-2,0,0.419,SpaceX-E
STARLINK-2705,2021-044AL,2026-05-01T08:59:42.000029,15.31682391,.0001212,53.1583,219.3865,95.8706,306.3498,0,C,48672,121,1,-.33891E-2,-.10515E-2,0,0.532,SpaceX-E
STARLINK-2705,2021-044AL,2026-05-01T10:35:41.999971,15.31612133,.0001215,53.1583,219.0766,92.8379,317.2072,0,C,48672,121,1,.82274E-3,.25523E-3,0,0.503,SpaceX-E
STARLINK-2705,2021-044AL,2026-05-01T13:47:42.000029,15.31578745,.0001264,53.1582,218.4566,83.5079,342.1317,0,C,48672,121,1,.43243E-2,.13424E-2,0,0.220,SpaceX-E
STARLINK-2705,2021-044AL,2026-05-01T15:23:41.999971,15.31597699,.0001235,53.1583,218.1465,79.7717,353.6548,0,C,48672,121,1,.41552E-2,.12905E-2,0,0.225,SpaceX-E
STARLINK-2705,2021-044AL,2026-05-01T16:59:42.000000,15.31626292,.0001191,53.1581,217.8363,76.0076,5.2071,0,C,48672,121,1,.32178E-2,.99982E-3,0,0.235,SpaceX-E
STARLINK-2705,2021-044AL,2026-05-01T19:50:42.000000,15.31683377,.0001135,53.1578,217.2830,74.1457,302.2033,0,C,48672,121,1,.12924E-3,.40168E-4,0,0.213,SpaceX-E
STARLINK-2705,2021-044AL,2026-05-01T21:16:41.999981,15.31696065,.0001133,53.1579,217.0046,76.6398,269.2018,0,C,48672,121,1,-.70151E-3,-.21803E-3,0,0.214,SpaceX-E
