NORAD_CAT_ID,OBJECT_NAME,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,TLE_LINE1,TLE_LINE2
47749,STARLINK-2163,2026-03-01T12:01:04.767168,15.31042734,0.00013280,53.1608,232.3388,84.7009,275.4143,1 47749U 21017AD  26060.50074962  .00002923  00000-0  10802-3 0  9999,2 47749  53.1608 232.3388 0001328  84.7009 275.4143 15.31042734276727
47749,STARLINK-2163,2026-03-01T18:17:04.640064,15.31050588,0.00013440,53.1608,231.1242,86.9014,273.2141,1 47749U 21017AD  26060.76185926  .00003768  00000-0  13577-3 0  9990,2 47749  53.1608 231.1242 0001344  86.9014 273.2141 15.31050588276765
47749,STARLINK-2163,2026-03-01T21:25:05.019744,15.31054237,0.00013300,53.1583,230.5166,86.1139,274.0014,1 47749U 21017AD  26060.89241921  .00006217  00000-0  21615-3 0  9996,2 47749  53.1583 230.5166 0001330  86.1139 274.0014 15.31054237276785
47749,STARLINK-2163,2026-03-01T21:25:05.019744,15.31054237,0.00013304,53.1583,230.5166,86.1139,274.0014,1 47749U 21017AD  26060.89241921  .00006217  00000-0  21615-3 0  9996,2 47749  53.1583 230.5166 0001330  86.1139 274.0014 15.31054237276785
47749,STARLINK-2163,2026-03-02T11:31:07.176288,15.31022248,0.00006560,53.1589,227.7848,42.7899,317.3153,1 47749U 21017AD  26061.47994417 -.00002120  00000-0 -57883-4 0  9994,2 47749  53.1589 227.7848 0000656  42.7899 317.3153 15.31022248276879
47749,STARLINK-2163,2026-03-02T14:39:07.110144,15.31033194,0.00012262,53.1585,227.1770,93.9700,266.1441,1 47749U 21017AD  26061.61049896  .00000967  00000-0  43747-4 0  9991,2 47749  53.1585 227.1770 0001226  93.9700 266.1441 15.31033194276891
47749,STARLINK-2163,2026-03-02T16:13:07.063680,15.31035858,0.00010830,53.1587,226.8736,90.2041,269.9085,1 47749U 21017AD  26061.67577620  .00001166  00000-0  50267-4 0  9995,2 47749  53.1587 226.8736 0001083  90.2041 269.9085 15.31035858276906
47749,STARLINK-2163,2026-03-02T16:13:07.064544,15.31035858,0.00010833,53.1587,226.8736,90.2041,269.9085,1 47749U 21017AD  26061.67577621  .00001166  00000-0  50267-4 0  9996,2 47749  53.1587 226.8736 0001083  90.2041 269.9085 15.31035858276906
47749,STARLINK-2163,2026-03-03T17:17:08.032704,15.31060084,0.00008260,53.1598,222.0156,89.2742,270.8354,1 47749U 21017AD  26062.72023186  .00017487  00000-0  58542-3 0  9991,2 47749  53.1598 222.0156 0000826  89.2742 270.8354 15.31060084277069
47749,STARLINK-2163,2026-03-03T17:17:08.033568,15.31060084,0.00008260,53.1598,222.0156,89.2742,270.8354,1 47749U 21017AD  26062.72023187  .00017487  00000-0  58542-3 0  9992,2 47749  53.1598 222.0156 0000826  89.2742 270.8354 15.31060084277069
47749,STARLINK-2163,2026-03-05T00:37:10.986240,15.31038960,0.00010390,53.1617,215.9400,80.9220,279.1899,1 47749U 21017AD  26064.02582160  .00015211  00000-0  51127-3 0  9993,2 47749  53.1617 215.9400 0001039  80.9220 279.1899 15.31038960277266
47749,STARLINK-2163,2026-03-05T00:37:10.986240,15.31038960,0.00010391,53.1617,215.9400,80.9220,279.1899,1 47749U 21017AD  26064.02582160  .00015211  00000-0  51127-3 0  9993,2 47749  53.1617 215.9400 0001039  80.9220 279.1899 15.31038960277266
47749,STARLINK-2163,2026-03-05T13:09:00.029664,15.31373712,0.00021160,53.1611,213.5145,221.7238,138.3602,1 47749U 21017AD  26064.54791701  .00109900  00000-0  35371-2 0  9994,2 47749  53.1611 213.5145 0002116 221.7238 138.3602 15.31373712277345
47749,STARLINK-2163,2026-03-05T13:09:00.030528,15.31373712,0.00021163,53.1611,213.5145,221.7238,138.3602,1 47749U 21017AD  26064.54791702  .00109900  00000-0  35371-2 0  9995,2 47749  53.1611 213.5145 0002116 221.7238 138.3602 15.31373712277345
47749,STARLINK-2163,2026-03-05T16:17:09.504672,15.30730440,0.00020920,53.1611,212.7929,140.2461,219.8694,1 47749U 21017AD  26064.67858223 -.00354156  00000-0 -12315-1 0  9990,2 47749  53.1611 212.7929 0002092 140.2461 219.8694 15.30730440277364
47749,STARLINK-2163,2026-03-06T18:55:15.321792,15.30976106,0.00013880,53.1617,207.7465,137.0377,223.0733,1 47749U 21017AD  26065.78837178  .00072602  00000-0  23817-2 0  9990,2 47749  53.1617 207.7465 0001388 137.0377 223.0733 15.30976106277537
47749,STARLINK-2163,2026-03-07T02:45:15.414336,15.31017340,0.00012460,53.1617,206.2298,94.6468,265.4676,1 47749U 21017AD  26066.11476174  .00032253  00000-0  10690-2 0  9996,2 47749  53.1617 206.2298 0001246  94.6468 265.4676 15.31017340277585
47749,STARLINK-2163,2026-03-07T02:45:15.415200,15.31017340,0.00012457,53.1617,206.2298,94.6468,265.4676,1 47749U 21017AD  26066.11476175  .00032253  00000-0  10690-2 0  9997,2 47749  53.1617 206.2298 0001246  94.6468 265.4676 15.31017340277585
47749,STARLINK-2163,2026-03-07T09:01:15.367584,15.31045252,0.00012410,53.1618,205.0151,74.0957,286.0181,1 47749U 21017AD  26066.37587231  .00022359  00000-0  74508-3 0  9996,2 47749  53.1618 205.0151 0001241  74.0957 286.0181 15.31045252277629
47749,STARLINK-2163,2026-03-07T09:01:15.368448,15.31045252,0.00012415,53.1618,205.0151,74.0957,286.0181,1 47749U 21017AD  26066.37587232  .00022359  00000-0  74508-3 0  9997,2 47749  53.1618 205.0151 0001241  74.0957 286.0181 15.31045252277629
47749,STARLINK-2163,2026-03-08T13:13:16.825152,15.31023895,0.00013440,53.1617,199.5505,50.2853,309.8267,1 47749U 21017AD  26067.55088918 -.00000434  00000-0 -23409-5 0  9993,2 47749  53.1617 199.5505 0001344  50.2853 309.8267 15.31023895277801
47749,STARLINK-2163,2026-03-08T14:47:16.944576,15.31022816,0.00012549,53.1617,199.2469,61.9554,298.1574,1 47749U 21017AD  26067.61616834  .00002539  00000-0  95474-4 0  9990,2 47749  53.1617 199.2469 0001255  61.9554 298.1574 15.31022816277819
47749,STARLINK-2163,2026-03-08T16:21:17.207424,15.31022313,0.00013600,53.1617,198.9436,54.8778,305.2351,1 47749U 21017AD  26067.68144916  .00005707  00000-0  19961-3 0  9990,2 47749  53.1617 198.9436 0001360  54.8778 305.2351 15.31022313277821
47749,STARLINK-2163,2026-03-09T12:43:18.994944,15.31034927,0.00015520,53.1614,194.9971,53.2577,306.8566,1 47749U 21017AD  26068.53008096  .00010847  00000-0  36825-3 0  9992,2 47749  53.1614 194.9971 0001552  53.2577 306.8566 15.31034927277954
47749,STARLINK-2163,2026-03-09T14:17:19.085856,15.31037251,0.00016914,53.1606,194.6933,50.3296,309.7854,1 47749U 21017AD  26068.59535979  .00011218  00000-0  38040-3 0  9997,2 47749  53.1606 194.6933 0001691  50.3296 309.7854 15.31037251277966
47749,STARLINK-2163,2026-03-09T15:51:19.111104,15.31039674,0.00015950,53.1608,194.3896,55.6848,304.4304,1 47749U 21017AD  26068.66063786  .00011681  00000-0  39557-3 0  9995,2 47749  53.1608 194.3896 0001595  55.6848 304.4304 15.31039674277971
47749,STARLINK-2163,2026-03-09T15:51:19.111968,15.31039674,0.00015945,53.1608,194.3896,55.6848,304.4304,1 47749U 21017AD  26068.66063787  .00011681  00000-0  39557-3 0  9996,2 47749  53.1608 194.3896 0001595  55.6848 304.4304 15.31039674277971
47749,STARLINK-2163,2026-03-10T07:31:20.361504,15.31034188,0.00015580,53.1609,191.3556,66.8993,293.2172,1 47749U 21017AD  26069.31343011  .00003391  00000-0  12343-3 0  9993,2 47749  53.1609 191.3556 0001558  66.8993 293.2172 15.31034188278071
47749,STARLINK-2163,2026-03-10T12:13:20.755200,15.31028949,0.00012920,53.1605,190.4422,77.2179,282.8966,1 47749U 21017AD  26069.50926800  .00003234  00000-0  11828-3 0  9990,2 47749  53.1605 190.4422 0001292  77.2179 282.8966 15.31028949278103
47749,STARLINK-2163,2026-03-10T16:55:21.091008,15.31030061,0.00012510,53.1600,189.5313,81.7055,278.4087,1 47749U 21017AD  26069.70510522  .00002326  00000-0  88450-4 0  9999,2 47749  53.1600 189.5313 0001251  81.7055 278.4087 15.31030061278130
47749,STARLINK-2163,2026-03-10T16:55:21.091008,15.31030061,0.00012507,53.1600,189.5313,81.7055,278.4087,1 47749U 21017AD  26069.70510522  .00002326  00000-0  88450-4 0  9999,2 47749  53.1600 189.5313 0001251  81.7055 278.4087 15.31030061278130
47749,STARLINK-2163,2026-03-11T07:01:21.802944,15.31038874,0.00010989,53.1596,186.7985,91.1066,269.0061,1 47749U 21017AD  26070.29261346  .00005894  00000-0  20565-3 0  9997,2 47749  53.1596 186.7985 0001099  91.1066 269.0061 15.31038874278223
47749,STARLINK-2163,2026-03-11T11:43:21.855360,15.31048814,0.00011920,53.1594,185.8889,87.5825,272.5312,1 47749U 21017AD  26070.48844740  .00010295  00000-0  35001-3 0  9995,2 47749  53.1594 185.8889 0001192  87.5825 272.5312 15.31048814278256
47749,STARLINK-2163,2026-03-11T13:17:13.794432,15.31399241,0.00027390,53.1589,185.5846,340.8353,19.2545,1 47749U 21017AD  26070.55363188  .00178586  00000-0  56831-2 0  9996,2 47749  53.1589 185.5846 0002739 340.8353  19.2545 15.31399241278267
