segment_id,satellite_norad_id,month,analysis_role,phase_label,time_utc,t_rel_s,public_elevation_deg,reference_elevation_deg,F_public_hz,F_ref_hz,delta_f_orbit_hz,projected_residual_hz
legit_segment_003292ebb26b2ffc2e10cb2d,58380,2026-04,EXPLORATORY,SETTING_75_PERCENT,2026-04-02T06:32:29Z,0.0,25.539201491117687,25.552338396977014,11324866481.139114,11324866680.752934,199.61381912231445,5.390779995527339
legit_segment_003292ebb26b2ffc2e10cb2d,58380,2026-04,EXPLORATORY,SETTING_75_PERCENT,2026-04-02T06:32:30Z,1.0,25.405119438504546,25.418327789566657,11324865760.239536,11324865958.545,198.30546379089355,6.073910860155394
legit_segment_003292ebb26b2ffc2e10cb2d,58380,2026-04,EXPLORATORY,SETTING_75_PERCENT,2026-04-02T06:32:31Z,2.0,25.270593660403826,25.28386841188642,11324864326.326593,11324864522.023392,195.69679832458496,5.456731589895725
legit_segment_003292ebb26b2ffc2e10cb2d,58380,2026-04,EXPLORATORY,SETTING_75_PERCENT,2026-04-02T06:32:32Z,3.0,25.13565822391528,25.14899445540392,11324862908.15442,11324863101.258968,193.10454750061035,4.85596696197004
legit_segment_003292ebb26b2ffc2e10cb2d,58380,2026-04,EXPLORATORY,SETTING_75_PERCENT,2026-04-02T06:32:33Z,4.0,25.000346410239082,25.013739325457667,11324861505.65733,11324861696.186678,190.5293483734131,4.272254030821699
legit_segment_003292ebb26b2ffc2e10cb2d,58380,2026-04,EXPLORATORY,SETTING_75_PERCENT,2026-04-02T06:32:34Z,5.0,24.864690714193536,24.87813564060185,11324860118.764965,11324860306.736757,187.97179222106934,3.706184074526874
legit_segment_003292ebb26b2ffc2e10cb2d,58380,2026-04,EXPLORATORY,SETTING_75_PERCENT,2026-04-02T06:32:35Z,6.0,24.72872284482525,24.742215233068514,11324858747.40251,11324858932.834959,185.4324493408203,3.1583273903267752
legit_segment_003292ebb26b2ffc2e10cb2d,58380,2026-04,EXPLORATORY,SETTING_75_PERCENT,2026-04-02T06:32:36Z,7.0,24.59247372706592,24.606009150279903,11324857391.490896,11324857574.40274,182.91184425354004,2.6292084990954265
legit_segment_003292ebb26b2ffc2e10cb2d,58380,2026-04,EXPLORATORY,SETTING_75_PERCENT,2026-04-02T06:32:37Z,8.0,24.455973504362607,24.46954765733387,11324856050.946991,11324856231.357471,180.41048049926758,2.1193309408718903
legit_segment_003292ebb26b2ffc2e10cb2d,58380,2026-04,EXPLORATORY,SETTING_75_PERCENT,2026-04-02T06:32:38Z,9.0,24.319251542219398,24.332860240431998,11324854725.6838,11324854903.612629,177.92882919311523,1.6291658307684713
legit_segment_003292ebb26b2ffc2e10cb2d,58380,2026-04,EXPLORATORY,SETTING_75_PERCENT,2026-04-02T06:32:39Z,10.0,24.18233643262402,24.195975611183197,11324853415.610664,11324853591.077991,175.46732711791992,1.1591499516220836
legit_segment_003292ebb26b2ffc2e10cb2d,58380,2026-04,EXPLORATORY,SETTING_75_PERCENT,2026-04-02T06:32:40Z,11.0,24.04525599927918,24.058921711722917,11324852120.633446,11324852293.659832,173.02638626098633,0.7096952907374146
legit_segment_003292ebb26b2ffc2e10cb2d,58380,2026-04,EXPLORATORY,SETTING_75_PERCENT,2026-04-02T06:32:41Z,12.0,23.908037303586276,23.92172572059736,11324850840.654707,11324851011.261091,170.60638427734375,0.28117950314376117
legit_segment_003292ebb26b2ffc2e10cb2d,58380,2026-04,EXPLORATORY,SETTING_75_PERCENT,2026-04-02T06:32:42Z,13.0,23.77070665133498,23.784414059361282,11324849575.573904,11324849743.78158,168.2076759338379,-0.12604264431317347
legit_segment_003292ebb26b2ffc2e10cb2d,58380,2026-04,EXPLORATORY,SETTING_75_PERCENT,2026-04-02T06:32:43Z,14.0,23.633289600068476,23.6470123998587,11324848325.287556,11324848491.118145,165.8305892944336,-0.5116430876685456
legit_segment_003292ebb26b2ffc2e10cb2d,58380,2026-04,EXPLORATORY,SETTING_75_PERCENT,2026-04-02T06:32:44Z,15.0,23.495810967018862,23.50954567207539,11324847089.689417,11324847253.164835,163.4754180908203,-0.8753280952329021
legit_segment_003292ebb26b2ffc2e10cb2d,58380,2026-04,EXPLORATORY,SETTING_75_PERCENT,2026-04-02T06:32:45Z,16.0,23.35829483764273,23.372038072607577,11324845868.670654,11324846029.813099,161.1424446105957,-1.2168153794085868
legit_segment_003292ebb26b2ffc2e10cb2d,58380,2026-04,EXPLORATORY,SETTING_75_PERCENT,2026-04-02T06:32:46Z,17.0,23.220764574635133,23.23451307361377,11324844662.120008,11324844820.95192,158.83191108703613,-1.5358627069192323
legit_segment_003292ebb26b2ffc2e10cb2d,58380,2026-04,EXPLORATORY,SETTING_75_PERCENT,2026-04-02T06:32:47Z,18.0,23.08324282744125,23.096993432261684,11324843469.923952,11324843626.467997,156.5440444946289,-1.8322431032775057
legit_segment_003292ebb26b2ffc2e10cb2d,58380,2026-04,EXPLORATORY,SETTING_75_PERCENT,2026-04-02T06:32:48Z,19.0,22.94575154216421,22.959501200595838,11324842291.966848,11324842446.245895,154.2790470123291,-2.1057543895283857
legit_segment_003292ebb26b2ffc2e10cb2d,58380,2026-04,EXPLORATORY,SETTING_75_PERCENT,2026-04-02T06:32:49Z,20.0,22.808311971901826,22.822057735812443,11324841128.131107,11324841280.168203,152.03709602355957,-2.356219182248992
