segment_id,satellite_norad_id,month,analysis_role,phase_label,time_utc,t_rel_s,public_elevation_deg,reference_elevation_deg,F_public_hz,F_ref_hz,delta_f_orbit_hz,projected_residual_hz
legit_segment_006360522cac7ec1d47d2774,65411,2026-06,CONFIRMATORY,RISING_25_PERCENT,2026-06-01T06:05:47Z,0.0,12.834063659572266,12.571825136001321,11325131764.886135,11325135477.314928,3712.428792953491,-4.0100856107214895
legit_segment_006360522cac7ec1d47d2774,65411,2026-06,CONFIRMATORY,RISING_25_PERCENT,2026-06-01T06:05:48Z,1.0,12.89705497820517,12.635585507834664,11325131275.484982,11325135001.98476,3726.4997787475586,-17.3719203601986
legit_segment_006360522cac7ec1d47d2774,65411,2026-06,CONFIRMATORY,RISING_25_PERCENT,2026-06-01T06:05:49Z,2.0,12.95981337549552,12.699139491596206,11325130293.11158,11325134047.789042,3754.6774616241455,-16.627058027155726
legit_segment_006360522cac7ec1d47d2774,65411,2026-06,CONFIRMATORY,RISING_25_PERCENT,2026-06-01T06:05:50Z,3.0,13.022331853660003,12.762480429630667,11325129303.589378,11325133086.51391,3782.9245319366455,-15.81280825820022
legit_segment_006360522cac7ec1d47d2774,65411,2026-06,CONFIRMATORY,RISING_25_PERCENT,2026-06-01T06:05:51Z,4.0,13.084603333256824,12.825601580373231,11325128306.905754,11325132118.1426,3811.2368450164795,-14.93331572191073
legit_segment_006360522cac7ec1d47d2774,65411,2026-06,CONFIRMATORY,RISING_25_PERCENT,2026-06-01T06:05:52Z,5.0,13.146620654028563,12.888496118921223,11325127303.049234,11325131142.659372,3839.610137939453,-13.992843342481592
legit_segment_006360522cac7ec1d47d2774,65411,2026-06,CONFIRMATORY,RISING_25_PERCENT,2026-06-01T06:05:53Z,6.0,13.208376575796848,12.951157137657258,11325126292.00953,11325130160.049557,3868.040027618408,-12.995774207071008
legit_segment_006360522cac7ec1d47d2774,65411,2026-06,CONFIRMATORY,RISING_25_PERCENT,2026-06-01T06:05:54Z,7.0,13.269863779451505,13.013577646947061,11325125273.777567,11325129170.299587,3896.522020339966,-11.94660202905743
legit_segment_006360522cac7ec1d47d2774,65411,2026-06,CONFIRMATORY,RISING_25_PERCENT,2026-06-01T06:05:55Z,8.0,13.331074867998037,13.07575057592075,11325124248.345505,11325128173.397018,3925.051513671875,-10.849929240692745
legit_segment_006360522cac7ec1d47d2774,65411,2026-06,CONFIRMATORY,RISING_25_PERCENT,2026-06-01T06:05:56Z,9.0,13.392002367685205,13.137668773290667,11325123215.706781,11325127169.330559,3953.6237773895264,-9.710486066585872
legit_segment_006360522cac7ec1d47d2774,65411,2026-06,CONFIRMATORY,RISING_25_PERCENT,2026-06-01T06:05:57Z,10.0,13.452638729233334,13.199325008284664,11325122175.856138,11325126158.090118,3982.233980178833,-8.533103820823271
legit_segment_006360522cac7ec1d47d2774,65411,2026-06,CONFIRMATORY,RISING_25_PERCENT,2026-06-01T06:05:58Z,11.0,13.512976329105767,13.260711971623016,11325121128.78963,11325125139.66679,4010.8771591186523,-7.32274542454843
legit_segment_006360522cac7ec1d47d2774,65411,2026-06,CONFIRMATORY,RISING_25_PERCENT,2026-06-01T06:05:59Z,12.0,13.573007470883308,13.321822276562882,11325120074.504679,11325124114.052923,4039.5482444763184,-6.084480610426908
legit_segment_006360522cac7ec1d47d2774,65411,2026-06,CONFIRMATORY,RISING_25_PERCENT,2026-06-01T06:06:00Z,13.0,13.632724386723647,13.38264846006021,11325119013.000088,11325123081.242138,4068.2420501708984,-4.823495459391324
