segment_id,pass_id,satellite_norad_id,satellite_name,month,analysis_role,station_id,station_lat_deg,station_lon_deg,station_alt_m,carrier_freq_hz,visibility_threshold_deg,pass_start_utc,pass_end_utc,pass_duration_s,pass_max_public_elevation_deg,phase_label,segment_phase_fraction,segment_center_utc,segment_start_utc,segment_end_utc,sample_cadence_s,point_count,public_min_elevation_deg,public_mean_elevation_deg,public_max_elevation_deg,ordinary_gp_id,ordinary_gp_epoch,ordinary_gp_creation_date,element_age_hours,publication_age_hours,freshness_bin,ordinary_tle_line1,ordinary_tle_line2,ordinary_raw_path,ordinary_raw_sha256,reference_epoch,reference_abs_epoch_separation_hours,reference_source_path,reference_source_sha256,reference_source_row_index,population_selection_uses_science_outcome,population_status
legit_segment_c3c7b955092818fd73fbb868,legit_pass_4bfb06beca403b53ca2b9612,44714,STARLINK-1008,2026-04,EXPLORATORY,controlled_example_station,52.21,5.16,14.0,11325000000.0,10.0,2026-04-01T00:53:58Z,2026-04-01T01:00:13Z,375.0,27.128235304427026,PEAK,0.5013333333333333,2026-04-01T00:57:06Z,2026-04-01T00:56:36Z,2026-04-01T00:57:36Z,1.0,61,26.108377032666905,26.781764371057545,27.128235304427026,317801624,2026-03-31T16:37:40.233792Z,2026-03-31T23:06:38Z,8.323823946666668,1.8411111111111111,6-9 h,1 44714U 19074B   26090.69282678  .00072852  00000-0  22383-2 0  9990,2 44714  53.1557  76.2762 0002598  88.6618 271.4682 15.33071142352242,data/orbit_uncertainty_stage1/raw/spacetrack_gp/spacetrack_gp_history_20260329_20260501_20sat_omm.json,079DD7846CE44950DB4818CB66F155CB338B2C8154CA66D3F6609F6459B3FEFE,2026-04-01T01:08:41.999971Z,0.19333332527777777,data/orbit_uncertainty_stage1/raw/celestrak_supgp/sat000044714.csv,C1198C15083467800821DFC90FD3B7EBC91AD77331A317D12C84E0F66BCD6112,2,False,SELECTED_FROZEN
legit_segment_49da934181387f44ca468a40,legit_pass_4bfb06beca403b53ca2b9612,44714,STARLINK-1008,2026-04,EXPLORATORY,controlled_example_station,52.21,5.16,14.0,11325000000.0,10.0,2026-04-01T00:53:58Z,2026-04-01T01:00:13Z,375.0,27.128235304427026,RISING_25_PERCENT,0.25066666666666665,2026-04-01T00:55:32Z,2026-04-01T00:55:02Z,2026-04-01T00:56:02Z,1.0,61,16.46575193859353,19.85833215834387,23.211887534891567,317801624,2026-03-31T16:37:40.233792Z,2026-03-31T23:06:38Z,8.297712835555556,1.815,6-9 h,1 44714U 19074B   26090.69282678  .00072852  00000-0  22383-2 0  9990,2 44714  53.1557  76.2762 0002598  88.6618 271.4682 15.33071142352242,data/orbit_uncertainty_stage1/raw/spacetrack_gp/spacetrack_gp_history_20260329_20260501_20sat_omm.json,079DD7846CE44950DB4818CB66F155CB338B2C8154CA66D3F6609F6459B3FEFE,2026-04-01T01:08:41.999971Z,0.21944443638888889,data/orbit_uncertainty_stage1/raw/celestrak_supgp/sat000044714.csv,C1198C15083467800821DFC90FD3B7EBC91AD77331A317D12C84E0F66BCD6112,2,False,SELECTED_FROZEN
legit_segment_c209ad62b9e54218b52d35f3,legit_pass_4bfb06beca403b53ca2b9612,44714,STARLINK-1008,2026-04,EXPLORATORY,controlled_example_station,52.21,5.16,14.0,11325000000.0,10.0,2026-04-01T00:53:58Z,2026-04-01T01:00:13Z,375.0,27.128235304427026,SETTING_75_PERCENT,0.7493333333333333,2026-04-01T00:58:39Z,2026-04-01T00:58:09Z,2026-04-01T00:59:09Z,1.0,61,16.43994817368336,19.84658500561278,23.212583463395365,317801624,2026-03-31T16:37:40.233792Z,2026-03-31T23:06:38Z,8.34965728,1.8669444444444445,6-9 h,1 44714U 19074B   26090.69282678  .00072852  00000-0  22383-2 0  9990,2 44714  53.1557  76.2762 0002598  88.6618 271.4682 15.33071142352242,data/orbit_uncertainty_stage1/raw/spacetrack_gp/spacetrack_gp_history_20260329_20260501_20sat_omm.json,079DD7846CE44950DB4818CB66F155CB338B2C8154CA66D3F6609F6459B3FEFE,2026-04-01T01:08:41.999971Z,0.16749999194444443,data/orbit_uncertainty_stage1/raw/celestrak_supgp/sat000044714.csv,C1198C15083467800821DFC90FD3B7EBC91AD77331A317D12C84E0F66BCD6112,2,False,SELECTED_FROZEN
legit_segment_20264dacced6efd48feeb3e3,legit_pass_95e19d2a688fff869166c425,44714,STARLINK-1008,2026-04,EXPLORATORY,controlled_example_station,52.21,5.16,14.0,11325000000.0,10.0,2026-04-01T17:53:11Z,2026-04-01T17:56:29Z,198.0,12.697233950361667,PEAK,0.5,2026-04-01T17:54:50Z,2026-04-01T17:54:20Z,2026-04-01T17:55:20Z,1.0,61,12.417331575988971,12.601667924122504,12.697233950361667,317850177,2026-03-31T16:37:40.234656Z,2026-04-01T10:27:43Z,25.28604592888889,7.451944444444444,24-36 h,1 44714U 19074B   26090.69282679  .00072852  00000-0  22383-2 0  9991,2 44714  53.1557  76.2762 0002598  88.6618 271.4682 15.33071142352242,data/orbit_uncertainty_stage1/raw/spacetrack_gp/spacetrack_gp_history_20260329_20260501_20sat_omm.json,079DD7846CE44950DB4818CB66F155CB338B2C8154CA66D3F6609F6459B3FEFE,2026-04-01T18:37:42.000038Z,0.7144444550000001,data/orbit_uncertainty_stage1/raw/celestrak_supgp/sat000044714.csv,C1198C15083467800821DFC90FD3B7EBC91AD77331A317D12C84E0F66BCD6112,8,False,SELECTED_FROZEN
legit_segment_ff09eef8508234e1ced0a60f,legit_pass_95e19d2a688fff869166c425,44714,STARLINK-1008,2026-04,EXPLORATORY,controlled_example_station,52.21,5.16,14.0,11325000000.0,10.0,2026-04-01T17:53:11Z,2026-04-01T17:56:29Z,198.0,12.697233950361667,RISING_25_PERCENT,0.25252525252525254,2026-04-01T17:54:01Z,2026-04-01T17:53:31Z,2026-04-01T17:54:31Z,1.0,61,10.929977286704407,11.90550657107858,12.588179504143216,317850177,2026-03-31T16:37:40.234656Z,2026-04-01T10:27:43Z,25.27243481777778,7.4383333333333335,24-36 h,1 44714U 19074B   26090.69282679  .00072852  00000-0  22383-2 0  9991,2 44714  53.1557  76.2762 0002598  88.6618 271.4682 15.33071142352242,data/orbit_uncertainty_stage1/raw/spacetrack_gp/spacetrack_gp_history_20260329_20260501_20sat_omm.json,079DD7846CE44950DB4818CB66F155CB338B2C8154CA66D3F6609F6459B3FEFE,2026-04-01T18:37:42.000038Z,0.7280555661111111,data/orbit_uncertainty_stage1/raw/celestrak_supgp/sat000044714.csv,C1198C15083467800821DFC90FD3B7EBC91AD77331A317D12C84E0F66BCD6112,8,False,SELECTED_FROZEN
legit_segment_b7673722d4f8107b1ff1e031,legit_pass_95e19d2a688fff869166c425,44714,STARLINK-1008,2026-04,EXPLORATORY,controlled_example_station,52.21,5.16,14.0,11325000000.0,10.0,2026-04-01T17:53:11Z,2026-04-01T17:56:29Z,198.0,12.697233950361667,SETTING_75_PERCENT,0.7525252525252525,2026-04-01T17:55:40Z,2026-04-01T17:55:10Z,2026-04-01T17:56:10Z,1.0,61,10.875059272746013,11.866847798029687,12.57093473069999,317850177,2026-03-31T16:37:40.234656Z,2026-04-01T10:27:43Z,25.29993481777778,7.465833333333333,24-36 h,1 44714U 19074B   26090.69282679  .00072852  00000-0  22383-2 0  9991,2 44714  53.1557  76.2762 0002598  88.6618 271.4682 15.33071142352242,data/orbit_uncertainty_stage1/raw/spacetrack_gp/spacetrack_gp_history_20260329_20260501_20sat_omm.json,079DD7846CE44950DB4818CB66F155CB338B2C8154CA66D3F6609F6459B3FEFE,2026-04-01T18:37:42.000038Z,0.7005555661111111,data/orbit_uncertainty_stage1/raw/celestrak_supgp/sat000044714.csv,C1198C15083467800821DFC90FD3B7EBC91AD77331A317D12C84E0F66BCD6112,8,False,SELECTED_FROZEN
legit_segment_6cd5d3a81aaadc6b0e1e37ee,legit_pass_c4de191856f5a3e17f6ab815,44714,STARLINK-1008,2026-04,EXPLORATORY,controlled_example_station,52.21,5.16,14.0,11325000000.0,10.0,2026-04-01T19:28:21Z,2026-04-01T19:35:24Z,423.0,48.63644347435559,PEAK,0.4988179669030733,2026-04-01T19:31:52Z,2026-04-01T19:31:22Z,2026-04-01T19:32:22Z,1.0,61,44.63989147675209,47.211594891422045,48.63644347435559,317850177,2026-03-31T16:37:40.234656Z,2026-04-01T10:27:43Z,26.90326815111111,9.069166666666666,24-36 h,1 44714U 19074B   26090.69282679  .00072852  00000-0  22383-2 0  9991,2 44714  53.1557  76.2762 0002598  88.6618 271.4682 15.33071142352242,data/orbit_uncertainty_stage1/raw/spacetrack_gp/spacetrack_gp_history_20260329_20260501_20sat_omm.json,079DD7846CE44950DB4818CB66F155CB338B2C8154CA66D3F6609F6459B3FEFE,2026-04-01T18:37:42.000038Z,0.9027777672222221,data/orbit_uncertainty_stage1/raw/celestrak_supgp/sat000044714.csv,C1198C15083467800821DFC90FD3B7EBC91AD77331A317D12C84E0F66BCD6112,8,False,SELECTED_FROZEN
legit_segment_4a6856ff7d113d36566a23bd,legit_pass_c4de191856f5a3e17f6ab815,44714,STARLINK-1008,2026-04,EXPLORATORY,controlled_example_station,52.21,5.16,14.0,11325000000.0,10.0,2026-04-01T19:28:21Z,2026-04-01T19:35:24Z,423.0,48.63644347435559,RISING_25_PERCENT,0.25059101654846333,2026-04-01T19:30:07Z,2026-04-01T19:29:37Z,2026-04-01T19:30:37Z,1.0,61,19.831760698216353,25.696217150111853,32.50898423671878,317850177,2026-03-31T16:37:40.234656Z,2026-04-01T10:27:43Z,26.874101484444445,9.04,24-36 h,1 44714U 19074B   26090.69282679  .00072852  00000-0  22383-2 0  9991,2 44714  53.1557  76.2762 0002598  88.6618 271.4682 15.33071142352242,data/orbit_uncertainty_stage1/raw/spacetrack_gp/spacetrack_gp_history_20260329_20260501_20sat_omm.json,079DD7846CE44950DB4818CB66F155CB338B2C8154CA66D3F6609F6459B3FEFE,2026-04-01T18:37:42.000038Z,0.8736111005555555,data/orbit_uncertainty_stage1/raw/celestrak_supgp/sat000044714.csv,C1198C15083467800821DFC90FD3B7EBC91AD77331A317D12C84E0F66BCD6112,8,False,SELECTED_FROZEN
legit_segment_7a7a87e9937899ac16583c94,legit_pass_c4de191856f5a3e17f6ab815,44714,STARLINK-1008,2026-04,EXPLORATORY,controlled_example_station,52.21,5.16,14.0,11325000000.0,10.0,2026-04-01T19:28:21Z,2026-04-01T19:35:24Z,423.0,48.63644347435559,SETTING_75_PERCENT,0.7494089834515366,2026-04-01T19:33:38Z,2026-04-01T19:33:08Z,2026-04-01T19:34:08Z,1.0,61,19.78061119353919,25.60249950215438,32.367075122385,317850177,2026-03-31T16:37:40.234656Z,2026-04-01T10:27:43Z,26.932712595555554,9.098611111111111,24-36 h,1 44714U 19074B   26090.69282679  .00072852  00000-0  22383-2 0  9991,2 44714  53.1557  76.2762 0002598  88.6618 271.4682 15.33071142352242,data/orbit_uncertainty_stage1/raw/spacetrack_gp/spacetrack_gp_history_20260329_20260501_20sat_omm.json,079DD7846CE44950DB4818CB66F155CB338B2C8154CA66D3F6609F6459B3FEFE,2026-04-01T18:37:42.000038Z,0.9322222116666666,data/orbit_uncertainty_stage1/raw/celestrak_supgp/sat000044714.csv,C1198C15083467800821DFC90FD3B7EBC91AD77331A317D12C84E0F66BCD6112,8,False,SELECTED_FROZEN
legit_segment_c77d3834f0222b94261647de,legit_pass_305a3bcd764149e210a24a9e,44714,STARLINK-1008,2026-04,EXPLORATORY,controlled_example_station,52.21,5.16,14.0,11325000000.0,10.0,2026-04-02T00:21:32Z,2026-04-02T00:28:02Z,390.0,30.993750877945214,PEAK,0.5025641025641026,2026-04-02T00:24:48Z,2026-04-02T00:24:18Z,2026-04-02T00:25:18Z,1.0,61,29.638945316584575,30.528318369873464,30.993750877945214,317915748,2026-04-01T05:08:39.547104Z,2026-04-01T23:51:27Z,19.269014693333332,0.5558333333333333,18-24 h,1 44714U 19074B   26091.21434661  .00059414  00000-0  18263-2 0  9991,2 44714  53.1558  73.8420 0002532  91.3941 268.7352 15.33149541352326,data/orbit_uncertainty_stage1/raw/spacetrack_gp/spacetrack_gp_history_20260329_20260501_20sat_omm.json,079DD7846CE44950DB4818CB66F155CB338B2C8154CA66D3F6609F6459B3FEFE,2026-04-02T01:30:41.999990Z,1.0983333305555556,data/orbit_uncertainty_stage1/raw/celestrak_supgp/sat000044714.csv,C1198C15083467800821DFC90FD3B7EBC91AD77331A317D12C84E0F66BCD6112,11,False,SELECTED_FROZEN
