experiment_family,orbit_unit_id,A_id,A_name,B_class,B_identity_or_perturbation_definition,segment_or_pass_id,evaluation_time,selected_causal_A_GP_ID,selected_causal_A_GP_EPOCH,selected_causal_A_GP_CREATION_DATE,A_causal_GP_reconstructable,B_reconstructable,randomness_reconstructable,primary_or_sensitivity_role,include_in_R3,exclusion_reason,selection_uses_causal_A_result,selection_rule,A_reconstruction_rule,B_reconstruction_rule,planned_primary_realization_rows,planned_endpoint_rows,planned_diagnostic_rows,planned_sensitivity_rows_available_not_in_core_R3
active_compensation_first_pass,orbit_unit_01da1cd7d49a5bcb2184f5d8,65410,STARLINK-35024,REAL_B,44714,full_pass:65410,2026-03-10T06:43:17.500000Z,315434688,2026-03-09T16:20:35.643840Z,2026-03-10T03:44:43Z,True,True,True,PRIMARY_CORE,True,,False,FIRST_3_B_PER_A_BY_SHA256_R2_ACTIVE_PAIR_V1,"latest CREATION_DATE<=evaluation_time, then latest EPOCH, then GP_ID",preserve original real-B identity and frozen historical TLE physical semantics,6,3,3,0
active_compensation_first_pass,orbit_unit_0250c713e1719a5081f3dfbb,47383,STARLINK-2103,REAL_B,65411,full_pass:47383,2026-03-10T15:51:15Z,315494855,2026-03-10T06:10:56.016192Z,2026-03-10T15:47:10Z,True,True,True,PRIMARY_CORE,False,DETERMINISTIC_TARGET_STRATIFIED_ACTIVE_PAIR_THINNING_NOT_FIRST_3_SHA256,False,FIRST_3_B_PER_A_BY_SHA256_R2_ACTIVE_PAIR_V1,"latest CREATION_DATE<=evaluation_time, then latest EPOCH, then GP_ID",preserve original real-B identity and frozen historical TLE physical semantics,0,0,0,0
active_compensation_first_pass,orbit_unit_09dfc159e784ea4b2a156009,65421,STARLINK-35146,REAL_B,65405,full_pass:65421,2026-03-10T06:45:29.500000Z,315434193,2026-03-09T17:56:44.636640Z,2026-03-10T03:44:43Z,True,True,True,PRIMARY_CORE,False,DETERMINISTIC_TARGET_STRATIFIED_ACTIVE_PAIR_THINNING_NOT_FIRST_3_SHA256,False,FIRST_3_B_PER_A_BY_SHA256_R2_ACTIVE_PAIR_V1,"latest CREATION_DATE<=evaluation_time, then latest EPOCH, then GP_ID",preserve original real-B identity and frozen historical TLE physical semantics,0,0,0,0
active_compensation_first_pass,orbit_unit_0b70e76bcdd52a8fd435e07d,65421,STARLINK-35146,REAL_B,45230,full_pass:65421,2026-03-10T06:45:29.500000Z,315434193,2026-03-09T17:56:44.636640Z,2026-03-10T03:44:43Z,True,True,True,PRIMARY_CORE,False,DETERMINISTIC_TARGET_STRATIFIED_ACTIVE_PAIR_THINNING_NOT_FIRST_3_SHA256,False,FIRST_3_B_PER_A_BY_SHA256_R2_ACTIVE_PAIR_V1,"latest CREATION_DATE<=evaluation_time, then latest EPOCH, then GP_ID",preserve original real-B identity and frozen historical TLE physical semantics,0,0,0,0
active_compensation_first_pass,orbit_unit_0d566bfeef9fa89c4831469e,65409,STARLINK-35022,REAL_B,45230,full_pass:65409,2026-03-10T06:43:59Z,315434187,2026-03-09T17:55:17.144544Z,2026-03-10T03:44:43Z,True,True,True,PRIMARY_CORE,False,DETERMINISTIC_TARGET_STRATIFIED_ACTIVE_PAIR_THINNING_NOT_FIRST_3_SHA256,False,FIRST_3_B_PER_A_BY_SHA256_R2_ACTIVE_PAIR_V1,"latest CREATION_DATE<=evaluation_time, then latest EPOCH, then GP_ID",preserve original real-B identity and frozen historical TLE physical semantics,0,0,0,0
active_compensation_first_pass,orbit_unit_0da10186dab9daf339085f80,65410,STARLINK-35024,REAL_B,65686,full_pass:65410,2026-03-10T06:43:17.500000Z,315434688,2026-03-09T16:20:35.643840Z,2026-03-10T03:44:43Z,True,True,True,PRIMARY_CORE,False,DETERMINISTIC_TARGET_STRATIFIED_ACTIVE_PAIR_THINNING_NOT_FIRST_3_SHA256,False,FIRST_3_B_PER_A_BY_SHA256_R2_ACTIVE_PAIR_V1,"latest CREATION_DATE<=evaluation_time, then latest EPOCH, then GP_ID",preserve original real-B identity and frozen historical TLE physical semantics,0,0,0,0
active_compensation_first_pass,orbit_unit_0e31ce3ba8102f845414472b,47383,STARLINK-2103,REAL_B,47767,full_pass:47383,2026-03-10T15:51:15Z,315494855,2026-03-10T06:10:56.016192Z,2026-03-10T15:47:10Z,True,True,True,PRIMARY_CORE,True,,False,FIRST_3_B_PER_A_BY_SHA256_R2_ACTIVE_PAIR_V1,"latest CREATION_DATE<=evaluation_time, then latest EPOCH, then GP_ID",preserve original real-B identity and frozen historical TLE physical semantics,6,3,3,0
active_compensation_first_pass,orbit_unit_1c311d9afb46ac11783213fe,44714,STARLINK-1008,REAL_B,65421,full_pass:44714,2026-03-10T02:36:50.500000Z,315393241,2026-03-09T13:49:15.828096Z,2026-03-09T22:56:35Z,True,True,True,PRIMARY_CORE,False,DETERMINISTIC_TARGET_STRATIFIED_ACTIVE_PAIR_THINNING_NOT_FIRST_3_SHA256,False,FIRST_3_B_PER_A_BY_SHA256_R2_ACTIVE_PAIR_V1,"latest CREATION_DATE<=evaluation_time, then latest EPOCH, then GP_ID",preserve original real-B identity and frozen historical TLE physical semantics,0,0,0,0
active_compensation_first_pass,orbit_unit_2567979a35c3d0d166b3c234,65411,STARLINK-34983,REAL_B,45230,full_pass:65411,2026-03-10T06:25:06Z,315434188,2026-03-09T16:02:59.594784Z,2026-03-10T03:44:43Z,True,True,True,PRIMARY_CORE,False,DETERMINISTIC_TARGET_STRATIFIED_ACTIVE_PAIR_THINNING_NOT_FIRST_3_SHA256,False,FIRST_3_B_PER_A_BY_SHA256_R2_ACTIVE_PAIR_V1,"latest CREATION_DATE<=evaluation_time, then latest EPOCH, then GP_ID",preserve original real-B identity and frozen historical TLE physical semantics,0,0,0,0
active_compensation_first_pass,orbit_unit_2a9bfbda5ff4340a46426562,48309,STARLINK-2517,REAL_B,65407,full_pass:48309,2026-03-10T01:24:47Z,315394250,2026-03-09T20:00:00.999360Z,2026-03-09T22:56:35Z,True,True,True,PRIMARY_CORE,False,DETERMINISTIC_TARGET_STRATIFIED_ACTIVE_PAIR_THINNING_NOT_FIRST_3_SHA256,False,FIRST_3_B_PER_A_BY_SHA256_R2_ACTIVE_PAIR_V1,"latest CREATION_DATE<=evaluation_time, then latest EPOCH, then GP_ID",preserve original real-B identity and frozen historical TLE physical semantics,0,0,0,0
