spotcheck_rank,planned_row_identity,experiment_family,orbit_unit_id,source_case_id,condition_identity,realization_identity,selection_rule
1,r3row_ec634ddca25c69a8587265a1,controlled_altitude_difference_synthetic_B,orbit_unit_23235fe4183d87fb128c05e8,altitude_observation_822a7ac7678c08a61fe43892:current_bk:45.0,altitude_geometry_6f3cee614b7d4333b1150c8e,altitude_observation_822a7ac7678c08a61fe43892,"4 distinct units per family, then lowest SHA256(R3_SPOTCHECK_V1|planned_row_identity) to 30"
2,r3row_098d6a73f68593e84bab3188,segment_local_heatmap_and_direction_sensitivity,orbit_unit_5688e91c8302b1c99c8991f2,real_tle_candidate_M2_block_44714_65421_ordinary_similar_R50_d50_phi0_seg0_current_bk,condition_712753b4d712844d628c7162,sample_index_global:1,"4 distinct units per family, then lowest SHA256(R3_SPOTCHECK_V1|planned_row_identity) to 30"
3,r3row_2684ea6aaaa7628b5f859a48,controlled_altitude_difference_synthetic_B,orbit_unit_fd89f96073695c2e0801cc9a,altitude_observation_7473a5af28dd13aa4e996d63:current_bk:180.0,altitude_geometry_744267b2f737e21f4f3132c2,altitude_observation_7473a5af28dd13aa4e996d63,"4 distinct units per family, then lowest SHA256(R3_SPOTCHECK_V1|planned_row_identity) to 30"
4,r3row_df3a0116d3edf2cf77c2498b,same_pair_multi_pass_real_TLE,orbit_unit_5e961cd09ae7f28b1393dcc3,observation_cba4d09ae06f31b479047d1f:current_bk,geometry_7b5df45a1760cbabc677608f,observation_cba4d09ae06f31b479047d1f,"4 distinct units per family, then lowest SHA256(R3_SPOTCHECK_V1|planned_row_identity) to 30"
5,r3row_fa962a12b2ce6b52be8fff82,controlled_altitude_difference_synthetic_B,orbit_unit_cfa465d9fbb6afd5e7e3a9da,altitude_observation_2fa6f1efd5939a0a8c0cda28:current_bk:225.0,altitude_geometry_77a40358aee955ad96822b13,altitude_observation_2fa6f1efd5939a0a8c0cda28,"4 distinct units per family, then lowest SHA256(R3_SPOTCHECK_V1|planned_row_identity) to 30"
6,r3row_3811a38ec7737291c76461fd,controlled_altitude_difference_synthetic_B,orbit_unit_1a3847d3ce2dbf750f30c99f,altitude_observation_40750c8914c377646ab8bddf:current_bk:90.0,altitude_geometry_2a23ee76a9d9b38df36b9013,altitude_observation_40750c8914c377646ab8bddf,"4 distinct units per family, then lowest SHA256(R3_SPOTCHECK_V1|planned_row_identity) to 30"
7,r3row_39d90e148c00a23d5338f296,segment_local_heatmap_and_direction_sensitivity,orbit_unit_8efe2ae5533bdc3630ec1c81,real_tle_candidate_M2_block_65686_47749_ordinary_similar_R200_d5_phi135_seg0_current_bk,condition_9b8a3aa31bda60d073e47b84,sample_index_global:11,"4 distinct units per family, then lowest SHA256(R3_SPOTCHECK_V1|planned_row_identity) to 30"
8,r3row_655fccd24573bcc71dad72e3,controlled_altitude_difference_synthetic_B,orbit_unit_45a2a7296a677a37424e5509,altitude_observation_7baad4dacd05ec7acf05db2d:current_bk:0.0,altitude_geometry_10c561eb917a4921ff04ec8a,altitude_observation_7baad4dacd05ec7acf05db2d,"4 distinct units per family, then lowest SHA256(R3_SPOTCHECK_V1|planned_row_identity) to 30"
9,r3row_6458d2fd38d1298d90535ed5,controlled_altitude_difference_synthetic_B,orbit_unit_e495a94bf478ac69f590dacf,altitude_observation_2614939141315cdad9a01c07:current_bk:225.0,altitude_geometry_a196624a8e2a8e2823eb0535,altitude_observation_2614939141315cdad9a01c07,"4 distinct units per family, then lowest SHA256(R3_SPOTCHECK_V1|planned_row_identity) to 30"
10,r3row_014deac0551364915baa4638,controlled_altitude_difference_synthetic_B,orbit_unit_639a56625115ba979ddf05cf,altitude_observation_6c658387722eec2e7bb612d1:current_bk:90.0,altitude_geometry_dd94f967fe2ef934d7215776,altitude_observation_6c658387722eec2e7bb612d1,"4 distinct units per family, then lowest SHA256(R3_SPOTCHECK_V1|planned_row_identity) to 30"
11,r3row_fe104f1eb3d761d2bac9cd8e,same_pair_multi_pass_real_TLE,orbit_unit_5f9a1980f00c103f7d284a6e,observation_e438426a870497aa73455ca5:current_bk,geometry_78c7d08528075e3e397031b3,observation_e438426a870497aa73455ca5,"4 distinct units per family, then lowest SHA256(R3_SPOTCHECK_V1|planned_row_identity) to 30"
12,r3row_212b41b025b2985d0d2c7577,same_pair_multi_pass_real_TLE,orbit_unit_8226dc0359789a2795020342,observation_780ca2feb68a0d82b2cdaa44:current_bk,geometry_ca5e8be9b1618e5c4ee9d362,observation_780ca2feb68a0d82b2cdaa44,"4 distinct units per family, then lowest SHA256(R3_SPOTCHECK_V1|planned_row_identity) to 30"
13,r3row_8ec044b4db7f6d55534d49ff,controlled_altitude_difference_synthetic_B,orbit_unit_c41c997330660ce3da920457,altitude_observation_c548cfc81ef6219b5d9b1aef:current_bk:315.0,altitude_geometry_7fa0315045455bb12b5e2e22,altitude_observation_c548cfc81ef6219b5d9b1aef,"4 distinct units per family, then lowest SHA256(R3_SPOTCHECK_V1|planned_row_identity) to 30"
14,r3row_c9f9c59dc80d1b2cff6595f8,controlled_altitude_difference_synthetic_B,orbit_unit_979e3e8ee847ab66c1d9964f,altitude_observation_1bb76ac11601665818069ebe:current_bk:0.0,altitude_geometry_41fb4d6ce7517f04f44b3135,altitude_observation_1bb76ac11601665818069ebe,"4 distinct units per family, then lowest SHA256(R3_SPOTCHECK_V1|planned_row_identity) to 30"
15,r3row_9048d793f26aa8b97aab54e8,controlled_altitude_difference_synthetic_B,orbit_unit_85cfed6df633cc109b6c674c,altitude_observation_98834853e058161cdb2f0d97:current_bk:315.0,altitude_geometry_1391c40ce5fe40be5134f839,altitude_observation_98834853e058161cdb2f0d97,"4 distinct units per family, then lowest SHA256(R3_SPOTCHECK_V1|planned_row_identity) to 30"
16,r3row_4af1f154f5269c3aa4bb6254,controlled_altitude_difference_synthetic_B,orbit_unit_98bd280cda37ceee285cea29,altitude_observation_7720f059708483318a90575c:current_bk:90.0,altitude_geometry_667cd69a0b234bf8228b80cb,altitude_observation_7720f059708483318a90575c,"4 distinct units per family, then lowest SHA256(R3_SPOTCHECK_V1|planned_row_identity) to 30"
