experiment_family,endpoint_role,joint_state,observation_rows,LEVEL_A_units
active_compensation_first_pass,GEOMETRY_SANITY,ORBIT_DISTINCT_AND_DOPPLER_REJECTED,90,30
active_compensation_first_pass,PRIMARY_ENDPOINT,ORBIT_DISTINCT_AND_DOPPLER_ACCEPTED,25,25
active_compensation_first_pass,PRIMARY_ENDPOINT,ORBIT_DISTINCT_AND_DOPPLER_REJECTED,65,30
controlled_altitude_difference_synthetic_B,PRIMARY_ENDPOINT,ORBIT_AMBIGUOUS_AND_DOPPLER_ACCEPTED,5761,114
controlled_altitude_difference_synthetic_B,PRIMARY_ENDPOINT,ORBIT_AMBIGUOUS_AND_DOPPLER_REJECTED,1079,114
controlled_altitude_difference_synthetic_B,PRIMARY_ENDPOINT,ORBIT_DISTINCT_AND_DOPPLER_ACCEPTED,4248,141
controlled_altitude_difference_synthetic_B,PRIMARY_ENDPOINT,ORBIT_DISTINCT_AND_DOPPLER_REJECTED,5712,166
controlled_altitude_difference_synthetic_B,REFERENCE_ONLY,NOT_ORBIT_DISTINCT_AND_DOPPLER_ACCEPTED,1009,20
controlled_altitude_difference_synthetic_B,REFERENCE_ONLY,NOT_ORBIT_DISTINCT_AND_DOPPLER_REJECTED,191,20
same_pair_multi_pass_real_TLE,PRIMARY_ENDPOINT,ORBIT_DISTINCT_AND_DOPPLER_ACCEPTED,55,5
same_pair_multi_pass_real_TLE,PRIMARY_ENDPOINT,ORBIT_DISTINCT_AND_DOPPLER_REJECTED,2345,40
segment_local_heatmap_and_direction_sensitivity,PRIMARY_ENDPOINT,NOT_ORBIT_DISTINCT_AND_DOPPLER_ACCEPTED,160,2
segment_local_heatmap_and_direction_sensitivity,PRIMARY_ENDPOINT,NOT_ORBIT_DISTINCT_AND_DOPPLER_REJECTED,140,3
segment_local_heatmap_and_direction_sensitivity,PRIMARY_ENDPOINT,ORBIT_AMBIGUOUS_AND_DOPPLER_ACCEPTED,245,4
segment_local_heatmap_and_direction_sensitivity,PRIMARY_ENDPOINT,ORBIT_AMBIGUOUS_AND_DOPPLER_REJECTED,255,5
segment_local_heatmap_and_direction_sensitivity,PRIMARY_ENDPOINT,ORBIT_DISTINCT_AND_DOPPLER_ACCEPTED,202,27
segment_local_heatmap_and_direction_sensitivity,PRIMARY_ENDPOINT,ORBIT_DISTINCT_AND_DOPPLER_REJECTED,5198,29
