spotcheck_rank,planned_row_identity,experiment_family,orbit_unit_id,causal_A_GP_match,A_position_state_reconstruction_error_km,B_position_state_reconstruction_error_km,RTN_max_abs_error_km,D2_abs_error,rho99_abs_error,orbit_decision_mismatch,Doppler_compensation_max_abs_error_hz,observation_residual_max_abs_error_hz,b_hat_abs_error_hz,k_hat_abs_error_hz_per_s,score_abs_error_hz,categorical_mismatch_count,spotcheck_pass
1,r3row_ec634ddca25c69a8587265a1,controlled_altitude_difference_synthetic_B,orbit_unit_23235fe4183d87fb128c05e8,True,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,True
10,r3row_014deac0551364915baa4638,controlled_altitude_difference_synthetic_B,orbit_unit_639a56625115ba979ddf05cf,True,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,True
11,r3row_fe104f1eb3d761d2bac9cd8e,same_pair_multi_pass_real_TLE,orbit_unit_5f9a1980f00c103f7d284a6e,True,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,True
12,r3row_212b41b025b2985d0d2c7577,same_pair_multi_pass_real_TLE,orbit_unit_8226dc0359789a2795020342,True,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,True
13,r3row_8ec044b4db7f6d55534d49ff,controlled_altitude_difference_synthetic_B,orbit_unit_c41c997330660ce3da920457,True,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,True
14,r3row_c9f9c59dc80d1b2cff6595f8,controlled_altitude_difference_synthetic_B,orbit_unit_979e3e8ee847ab66c1d9964f,True,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,True
15,r3row_9048d793f26aa8b97aab54e8,controlled_altitude_difference_synthetic_B,orbit_unit_85cfed6df633cc109b6c674c,True,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,True
16,r3row_4af1f154f5269c3aa4bb6254,controlled_altitude_difference_synthetic_B,orbit_unit_98bd280cda37ceee285cea29,True,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,True
17,r3row_3471bbe4d892c7d2e768bdcf,segment_local_heatmap_and_direction_sensitivity,orbit_unit_52c84639e4263a6e03ea2932,True,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,True
18,r3row_527da532912255cce004cb71,controlled_altitude_difference_synthetic_B,orbit_unit_6c6f22037e3f5ea4fa507005,True,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,True
19,r3row_b53a64bd02482cb72c61f172,controlled_altitude_difference_synthetic_B,orbit_unit_b1e4aebc72cedb71f12d7005,True,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,True
2,r3row_098d6a73f68593e84bab3188,segment_local_heatmap_and_direction_sensitivity,orbit_unit_5688e91c8302b1c99c8991f2,True,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,True
20,r3row_97868521b6b37e1d5519e22a,controlled_altitude_difference_synthetic_B,orbit_unit_33c927fc472951a1d7040d0f,True,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,True
