analysis_split,freshness_bin,geometry_dimension,geometry_level,metric,n,median,p90
EXPLORATORY_APRIL_MAY,0-6 h,elevation_bin,10-20,raw_rms_hz,36,208.17479455579263,561.5027624772127
EXPLORATORY_APRIL_MAY,0-6 h,elevation_bin,10-20,score_orbit_hz,36,1.4545270971082604,3.725781729261777
EXPLORATORY_APRIL_MAY,0-6 h,elevation_bin,10-20,abs_delta_k_orbit_hz_per_s,36,1.067728649252373,3.6356896934025142
EXPLORATORY_APRIL_MAY,0-6 h,elevation_bin,20-40,raw_rms_hz,146,105.00229568728196,374.8510748556259
EXPLORATORY_APRIL_MAY,0-6 h,elevation_bin,20-40,score_orbit_hz,146,5.687838262493526,15.787537793542718
EXPLORATORY_APRIL_MAY,0-6 h,elevation_bin,20-40,abs_delta_k_orbit_hz_per_s,146,1.6572470108710045,4.622214017300177
EXPLORATORY_APRIL_MAY,0-6 h,elevation_bin,40-60,raw_rms_hz,6,663.0048391144983,
EXPLORATORY_APRIL_MAY,0-6 h,elevation_bin,40-60,score_orbit_hz,6,33.286353006286404,
EXPLORATORY_APRIL_MAY,0-6 h,elevation_bin,40-60,abs_delta_k_orbit_hz_per_s,6,0.9324717401638666,
EXPLORATORY_APRIL_MAY,0-6 h,elevation_bin,60-90,raw_rms_hz,51,582.3902587713523,1432.4073517274426
EXPLORATORY_APRIL_MAY,0-6 h,elevation_bin,60-90,score_orbit_hz,51,45.80100190065832,110.2722827386362
EXPLORATORY_APRIL_MAY,0-6 h,elevation_bin,60-90,abs_delta_k_orbit_hz_per_s,51,1.2086320057046411,2.7261801204752034
EXPLORATORY_APRIL_MAY,12-18 h,elevation_bin,10-20,raw_rms_hz,38,552.8135177519343,1259.1728988966506
EXPLORATORY_APRIL_MAY,12-18 h,elevation_bin,10-20,score_orbit_hz,38,3.6539229258731436,9.57054878362034
EXPLORATORY_APRIL_MAY,12-18 h,elevation_bin,10-20,abs_delta_k_orbit_hz_per_s,38,0.7089652393306773,5.591570232125079
