signed_altitude_delta_km,unit_count,NOT_ORBIT_DISTINCT_units,AMBIGUOUS_units,ORBIT_DISTINCT_units,DEFER_units,physical_km_mean,physical_km_p10,physical_km_q1,physical_km_median,physical_km_q3,physical_km_p90,physical_km_min,physical_km_max,all_rho99_mean,all_rho99_p10,all_rho99_q1,all_rho99_median,all_rho99_q3,all_rho99_p90,all_rho99_min,all_rho99_max,distinct_rho99_mean,distinct_rho99_p10,distinct_rho99_q1,distinct_rho99_median,distinct_rho99_q3,distinct_rho99_p90,distinct_rho99_min,distinct_rho99_max,distinct_acceptance_fraction_mean,distinct_acceptance_fraction_p10,distinct_acceptance_fraction_q1,distinct_acceptance_fraction_median,distinct_acceptance_fraction_q3,distinct_acceptance_fraction_p90,distinct_acceptance_fraction_min,distinct_acceptance_fraction_max,distinct_nonzero_acceptance_units,distinct_high_or_full_units,analysis_unit
-100.0,20,0,0,20,0,100.00038578760696,99.9973042603024,99.9983071266839,100.00080526882927,100.00218871258028,100.00283478636257,99.99702266010438,100.00302990801676,19.718237663414563,19.36437417937456,19.364782654641992,19.365132453339026,19.62573821587226,21.459022976583025,19.36434128158493,21.460074028426465,19.718237663414563,19.36437417937456,19.364782654641992,19.365132453339026,19.62573821587226,21.459022976583025,19.36434128158493,21.460074028426465,0.05083333333333333,0.0,0.0,0.0,0.0,0.15833333333333366,0.0,0.5,3,0,LEVEL_A_ORBIT_UNIT
-50.0,20,0,0,20,0,50.000367717206075,49.997286193764,49.99828905215622,50.00078718971613,50.00217064402299,50.0028167215359,49.9970045996762,50.00301184462332,9.860915656225675,9.684793086955537,9.685201553979795,9.685551371585362,9.809342827368265,10.73131673521549,9.684760200492908,10.73236779686021,9.860915656225675,9.684793086955537,9.685201553979795,9.685551371585362,9.809342827368265,10.73131673521549,9.684760200492908,10.73236779686021,0.24583333333333335,0.02999999999999997,0.11666666666666663,0.20833333333333331,0.37083333333333324,0.5183333333333334,0.0,0.6166666666666667,18,0,LEVEL_A_ORBIT_UNIT
-20.0,20,0,0,20,0,20.000357072306535,19.997275555467915,19.998278402457245,20.000776536383928,20.002160000994763,20.002806083959825,19.996993962429187,20.003001206871872,3.946537946820777,3.877060566577587,3.8774690244427226,3.8778188544578454,3.9195209601105914,4.294705644367164,3.877027686083168,4.295756706119398,3.946537946820777,3.877060566577587,3.8774690244427226,3.8778188544578454,3.9195209601105914,4.294705644367164,3.877027686083168,4.295756706119398,0.5116666666666668,0.36499999999999994,0.47916666666666663,0.5333333333333333,0.5666666666666667,0.6333333333333333,0.2833333333333333,0.6666666666666666,20,0,LEVEL_A_ORBIT_UNIT
-10.0,20,0,0,20,0,10.000353567171816,9.997272059719707,9.998274891787947,10.000773022947552,10.002156497787343,10.002802587972504,9.996990462822476,10.002997709137087,1.9751041506048608,1.9411762062395854,1.9415846489950233,1.9419344807588732,1.956272373966037,2.1491893380611935,1.94114332681458,2.150240381207352,1.9751041506048608,1.9411762062395854,1.9415846489950233,1.9419344807588732,1.956272373966037,2.1491893380611935,1.94114332681458,2.150240381207352,0.7233333333333334,0.6283333333333333,0.6583333333333333,0.7,0.7875,0.8400000000000001,0.55,0.95,20,2,LEVEL_A_ORBIT_UNIT
-5.0,20,0,17,3,0,5.00035184294085,4.997270353683139,4.998273157405817,5.0007712842419885,5.002154776962838,5.0028008808872935,4.996988746991617,5.002995998022354,0.9894347272845865,0.9732833676761374,0.9736917617676847,0.9740415740532271,0.9746958943825633,1.0764698607681924,0.9732504885785191,1.07752082586726,1.0770938033553121,1.0765724686009788,1.0768802920993383,1.0773933312632709,1.0774570785652653,1.0774953269464622,1.0763672529354058,1.07752082586726,0.8444444444444444,0.7333333333333333,0.7833333333333333,0.8666666666666667,0.9166666666666667,0.9466666666666668,0.7,0.9666666666666668,3,1,LEVEL_A_ORBIT_UNIT
-2.0,20,0,20,0,0,2.000350882384865,1.9972694474087702,1.9982721671868744,2.0007702819616378,2.0021538262103755,2.0027999707347974,1.9969878096648257,2.002995075352604,0.39818364966459435,0.38635404342190516,0.39270134304858384,0.39328250462212555,0.39357998468683053,0.43296093630837174,0.3859022568210152,0.4340113694683896,,,,,,,,,,,,,,,,,0,0,LEVEL_A_ORBIT_UNIT
-1.0,20,0,20,0,0,1.0003506826720436,0.9972693386027339,0.9982719184868925,1.0007700132892436,1.0021536425044582,1.0027998542732723,0.9969876484848064,1.0029949379066594,0.20134636734151495,0.19035631006780243,0.19942778206533687,0.2000075508255294,0.2003043988429416,0.21865914533368908,0.189905752505759,0.2197077454917814,,,,,,,,,,,,,,,,,0,0,LEVEL_A_ORBIT_UNIT
0.0,20,20,0,0,0,0.0021170954648411953,0.00072458452272521,0.00166315511769465,0.0022286924548275498,0.00289634781142655,0.00310909571937285,0.0005234605385645,0.0031352111621861,0.016813335473333003,0.01562112033946011,0.016854069855558124,0.0170324782458689,0.0171196917660863,0.01716655967181252,0.0153222502497801,0.017240107072219,,,,,,,,,,,,,,,,,0,0,LEVEL_A_ORBIT_UNIT
1.0,20,0,20,0,0,0.9996506181698612,0.997201782529731,0.9978477238119217,0.9992310124216869,1.0017291851903538,1.0027323211561634,0.997006614633345,1.003013801494774,0.19421994076990276,0.18821033862853476,0.18834666918793977,0.1888914974780829,0.20363099860241896,0.21044989308918038,0.1881725615883371,0.2115880434350997,,,,,,,,,,,,,,,,,0,0,LEVEL_A_ORBIT_UNIT
2.0,20,0,20,0,0,1.9996508171560816,1.99720189656207,1.9978479059800711,1.9992312804370198,2.001729433953251,2.002732431469768,1.9970067497046484,2.003013963913376,0.39103953595470886,0.3814548600545539,0.3815916084697716,0.38213799355166167,0.3996605801355905,0.4247367639130382,0.3814169901498725,0.4258770371031367,,,,,,,,,,,,,,,,,0,0,LEVEL_A_ORBIT_UNIT
