record_type,scope,gate_attribution,observation_row_count,fraction_of_scope_rows,fraction_of_rejected_rows,analysis_status,geometric_residual_rmse_median_hz,score_median_hz,abs_geometry_b_component_median_hz,abs_geometry_k_component_median_hz_per_s,geometric_rmse_above_score_threshold_rows
EXCLUSIVE_GATE_COMBINATION,ALL_ORBIT_DISTINCT_ROWS,ACCEPT_ALL_GATES_PASS,4530,0.253781512605042,,ROW_LEVEL_VERIFIER_MECHANISM_NOT_PRIMARY_SECURITY_WEIGHT,,,,,
EXCLUSIVE_GATE_COMBINATION,ALL_ORBIT_DISTINCT_ROWS,score,420,0.023529411764705882,0.03153153153153153,ROW_LEVEL_VERIFIER_MECHANISM_NOT_PRIMARY_SECURITY_WEIGHT,,,,,
EXCLUSIVE_GATE_COMBINATION,ALL_ORBIT_DISTINCT_ROWS,b,231,0.012941176470588235,0.017342342342342342,ROW_LEVEL_VERIFIER_MECHANISM_NOT_PRIMARY_SECURITY_WEIGHT,,,,,
EXCLUSIVE_GATE_COMBINATION,ALL_ORBIT_DISTINCT_ROWS,k,5133,0.28756302521008403,0.38536036036036037,ROW_LEVEL_VERIFIER_MECHANISM_NOT_PRIMARY_SECURITY_WEIGHT,,,,,
EXCLUSIVE_GATE_COMBINATION,ALL_ORBIT_DISTINCT_ROWS,score+b,25,0.0014005602240896359,0.0018768768768768769,ROW_LEVEL_VERIFIER_MECHANISM_NOT_PRIMARY_SECURITY_WEIGHT,,,,,
EXCLUSIVE_GATE_COMBINATION,ALL_ORBIT_DISTINCT_ROWS,score+k,906,0.050756302521008406,0.06801801801801802,ROW_LEVEL_VERIFIER_MECHANISM_NOT_PRIMARY_SECURITY_WEIGHT,,,,,
EXCLUSIVE_GATE_COMBINATION,ALL_ORBIT_DISTINCT_ROWS,b+k,1188,0.06655462184873949,0.0891891891891892,ROW_LEVEL_VERIFIER_MECHANISM_NOT_PRIMARY_SECURITY_WEIGHT,,,,,
EXCLUSIVE_GATE_COMBINATION,ALL_ORBIT_DISTINCT_ROWS,score+b+k,5417,0.3034733893557423,0.4066816816816817,ROW_LEVEL_VERIFIER_MECHANISM_NOT_PRIMARY_SECURITY_WEIGHT,,,,,
EXCLUSIVE_GATE_COMBINATION,active_compensation_first_pass,ACCEPT_ALL_GATES_PASS,25,0.2777777777777778,,ROW_LEVEL_VERIFIER_MECHANISM_NOT_PRIMARY_SECURITY_WEIGHT,,,,,
EXCLUSIVE_GATE_COMBINATION,active_compensation_first_pass,score,2,0.022222222222222223,0.03076923076923077,ROW_LEVEL_VERIFIER_MECHANISM_NOT_PRIMARY_SECURITY_WEIGHT,,,,,
EXCLUSIVE_GATE_COMBINATION,active_compensation_first_pass,k,2,0.022222222222222223,0.03076923076923077,ROW_LEVEL_VERIFIER_MECHANISM_NOT_PRIMARY_SECURITY_WEIGHT,,,,,
EXCLUSIVE_GATE_COMBINATION,active_compensation_first_pass,score+k,61,0.6777777777777778,0.9384615384615385,ROW_LEVEL_VERIFIER_MECHANISM_NOT_PRIMARY_SECURITY_WEIGHT,,,,,
EXCLUSIVE_GATE_COMBINATION,controlled_altitude_difference_synthetic_B,ACCEPT_ALL_GATES_PASS,4248,0.42650602409638555,,ROW_LEVEL_VERIFIER_MECHANISM_NOT_PRIMARY_SECURITY_WEIGHT,,,,,
EXCLUSIVE_GATE_COMBINATION,controlled_altitude_difference_synthetic_B,score,396,0.03975903614457831,0.06932773109243698,ROW_LEVEL_VERIFIER_MECHANISM_NOT_PRIMARY_SECURITY_WEIGHT,,,,,
EXCLUSIVE_GATE_COMBINATION,controlled_altitude_difference_synthetic_B,b,196,0.01967871485943775,0.03431372549019608,ROW_LEVEL_VERIFIER_MECHANISM_NOT_PRIMARY_SECURITY_WEIGHT,,,,,
EXCLUSIVE_GATE_COMBINATION,controlled_altitude_difference_synthetic_B,k,3999,0.4015060240963855,0.7001050420168067,ROW_LEVEL_VERIFIER_MECHANISM_NOT_PRIMARY_SECURITY_WEIGHT,,,,,
EXCLUSIVE_GATE_COMBINATION,controlled_altitude_difference_synthetic_B,score+b,14,0.0014056224899598394,0.0024509803921568627,ROW_LEVEL_VERIFIER_MECHANISM_NOT_PRIMARY_SECURITY_WEIGHT,,,,,
EXCLUSIVE_GATE_COMBINATION,controlled_altitude_difference_synthetic_B,score+k,603,0.0605421686746988,0.1055672268907563,ROW_LEVEL_VERIFIER_MECHANISM_NOT_PRIMARY_SECURITY_WEIGHT,,,,,
