record_type,scope,distance_band_km,unit_count,spearman_rho,spearman_pvalue,physical_km_mean,physical_km_p10,physical_km_q1,physical_km_median,physical_km_q3,physical_km_p90,physical_km_min,physical_km_max,rho99_mean,rho99_p10,rho99_q1,rho99_median,rho99_q3,rho99_p90,rho99_min,rho99_max,analysis_status
SPEARMAN_PHYSICAL_VS_RHO99,ALL_ORBIT_DISTINCT,ALL,265,0.9662556906846879,6.003041976812466e-157,3115.083768797721,9.999997613303217,19.99954120484147,99.99724825342057,7864.204755452809,10636.272005980249,4.997294340316644,13674.669227680704,541.5813574109511,1.9416477609520524,3.877047285108412,10.73236779686021,1212.829362418973,1991.5818503752228,1.0682287665708432,2968.465923544956,EXPLORATORY_DESCRIPTIVE
SPEARMAN_PHYSICAL_VS_RHO99,active_compensation_first_pass,ALL,30,0.9563959955506117,1.683720197009039e-16,8197.232019365583,943.4409730531008,5304.215411988303,9506.717642936897,11224.077776621321,12685.726674999034,306.7891796139443,13674.669227680704,1456.7280392793507,11.738922771914188,897.2394839687661,1549.1338376625492,2248.268563639083,2653.4783984707406,1.9720762998401693,2852.0498165888075,EXPLORATORY_DESCRIPTIVE
SPEARMAN_PHYSICAL_VS_RHO99,controlled_altitude_difference_synthetic_B,ALL,166,0.967398390513606,9.83654419120368e-100,43.55423211871871,9.99802256877718,10.002822200827794,20.002939057932693,50.00300005133414,100.00080526882927,4.997294340316644,100.0030472830282,8.589741088588578,1.930770393223025,2.1413316655888552,4.291110227697342,10.731983772115159,19.365111415422803,1.0682287665708432,21.460074028426465,EXPLORATORY_DESCRIPTIVE
SPEARMAN_PHYSICAL_VS_RHO99,same_pair_multi_pass_real_TLE,ALL,40,0.8647279549718575,6.358676377065146e-13,9205.6426808792,2593.150364592001,8918.811121954204,10354.75071900287,10685.958242333394,12663.705926688082,905.9174847817492,13657.228272472665,1587.040085938404,284.5574673554944,1374.528979040225,1642.9315278235558,2034.7460846149866,2363.8475448804534,36.88535737303945,2968.465923544956,EXPLORATORY_DESCRIPTIVE
SPEARMAN_PHYSICAL_VS_RHO99,segment_local_heatmap_and_direction_sensitivity,ALL,29,0.9049261083743839,1.601588990512549e-11,7038.776840812183,375.258962285071,978.2219367413278,8228.45273941892,9974.465690128112,13015.34162097353,9.996519185250506,13572.942428761404,1203.7833819751604,4.726305692096215,86.22863414362094,1415.4773291238748,1797.201635823788,2607.179945268444,1.9297861969974857,2677.57196412757,EXPLORATORY_DESCRIPTIVE
PHYSICAL_DISTANCE_BAND,ALL_ORBIT_DISTINCT,"(2,5]",3,,,4.997518096441474,4.99730188890214,4.997313211780384,4.997332083244123,4.997629974503889,4.997808709259749,4.997294340316644,4.997927865763655,1.0709840831351929,1.0682542592365405,1.0682924982350865,1.0683562298993297,1.0723617414173678,1.0747650483281905,1.0682287665708432,1.0763672529354058,DESCRIPTIVE_ONLY
PHYSICAL_DISTANCE_BAND,ALL_ORBIT_DISTINCT,"(5,10]",24,,,9.373541442359587,6.500852299512691,9.997044476665529,9.997800631353623,9.998339986643504,9.999336915887799,5.002075758206565,9.99997401973974,1.8550112286401916,1.3332004372063277,1.9299143757870487,1.9303099159456287,1.9449798795009252,2.0856944183770114,1.0693823596975511,2.149086721369337,DESCRIPTIVE_ONLY
PHYSICAL_DISTANCE_BAND,ALL_ORBIT_DISTINCT,"(10,25]",61,,,16.5580801750202,10.001712816423336,10.002789512735644,19.997921798320743,20.0015148691142,20.00267679359437,10.00003300364843,20.003020056569344,3.2648472344958486,1.941707390821876,1.9699160494422376,3.866337065896884,3.8778381670865945,3.9336659692403857,1.930750847619943,4.295756706119398,DESCRIPTIVE_ONLY
PHYSICAL_DISTANCE_BAND,ALL_ORBIT_DISTINCT,"(25,100]",59,,,66.10105660869283,49.997340076679016,49.99850043052123,50.00209163260398,99.99718288150223,99.99826460011482,49.9970045996762,99.99956993536664,13.036759289039097,9.673758263674987,9.684770000981874,9.809352313359518,19.3532288531586,19.416678802773596,9.673496280823263,21.45892035417945,DESCRIPTIVE_ONLY
PHYSICAL_DISTANCE_BAND,ALL_ORBIT_DISTINCT,"(100,1000]",33,,,293.8371440786515,100.0006509029776,100.00182084368764,100.0028217115532,435.7393543059085,960.6689764896353,100.00000474505866,992.3513499699328,20.72496821974236,5.278591636833504,19.353648786643337,19.36500184706618,19.63986904079408,21.783061240087893,1.9720762998401693,86.22863414362094,DESCRIPTIVE_ONLY
PHYSICAL_DISTANCE_BAND,ALL_ORBIT_DISTINCT,"(1000,5000]",10,,,3040.828234771672,1087.2157746831792,1503.734073003375,3055.4501330027306,4442.822076735372,4791.008973013713,1023.063157517672,4823.6171294105525,400.92841461076944,39.16566888410383,238.86858644391043,386.89484527964953,578.1603696140207,646.1235754445432,22.42107480346899,914.95271271865,DESCRIPTIVE_ONLY
PHYSICAL_DISTANCE_BAND,ALL_ORBIT_DISTINCT,"(5000,10000]",29,,,8567.7699402152,7253.756242737668,7861.359862359932,8399.342961487047,9368.155235941404,9868.814341651898,6746.010259721554,9974.465690128112,1409.5277907470936,937.6391980170976,1096.810062598852,1415.4773291238748,1705.2898232189496,1847.6333529462913,800.8678753845645,2142.693915527801,DESCRIPTIVE_ONLY
PHYSICAL_DISTANCE_BAND,ALL_ORBIT_DISTINCT,"(10000,20000]",46,,,11560.36955615974,10315.308218786451,10397.469847614246,11112.607974673396,12835.81849818282,13448.911827179214,10018.422137267362,13674.669227680704,2107.249738777887,1492.678923367422,1673.7888316713418,2048.234574468478,2625.1502785250145,2696.0060275639257,1375.055004034131,2968.465923544956,DESCRIPTIVE_ONLY
