record_type,scope,bin,unit_count,rho99_mean,rho99_p10,rho99_q1,rho99_median,rho99_q3,rho99_p90,rho99_min,rho99_max,acceptance_fraction_mean,acceptance_fraction_p10,acceptance_fraction_q1,acceptance_fraction_median,acceptance_fraction_q3,acceptance_fraction_p90,acceptance_fraction_min,acceptance_fraction_max,nonzero_acceptance_units,acceptance_fraction_gt_0p5_units,high_or_full_units,full_acceptance_units,analysis_status,spearman_rho,spearman_pvalue
PRIMARY_DISTRIBUTION,ALL_ORBIT_DISTINCT,rho99>1,265,541.5813574109511,1.9416477609520524,3.877047285108412,10.73236779686021,1212.829362418973,1991.5818503752228,1.0682287665708432,2968.465923544956,0.3070566037735849,0.0,0.0,0.3333333333333333,0.55,0.7,0.0,0.9666666666666668,198.0,81.0,5.0,0.0,PRIMARY_PRE_REGISTERED_SUBSET,,
DESCRIPTIVE_DISTANCE_BIN,ALL_ORBIT_DISTINCT,1<rho99<=1.2,6,1.0728747943722767,1.0682924982350865,1.068612762348885,1.0728748063164786,1.0771368116813047,1.0774570785652653,1.0682287665708432,1.07752082586726,0.8555555555555555,0.7333333333333334,0.7916666666666667,0.8916666666666666,0.9166666666666666,0.9416666666666667,0.7,0.9666666666666668,6.0,6.0,3.0,0.0,DESCRIPTIVE_ONLY_NOT_A_SECURITY_THRESHOLD,,
DESCRIPTIVE_DISTANCE_BIN,ALL_ORBIT_DISTINCT,1.2<rho99<=2,37,1.9413959359088901,1.9299765679711387,1.9303596025356335,1.9412167681148336,1.9420721297191248,1.962028568211138,1.9297861969974857,1.9720762998401693,0.6677477477477478,0.5700000000000001,0.6166666666666667,0.6833333333333333,0.7666666666666667,0.8066666666666666,0.0,0.95,36.0,34.0,1.0,0.0,DESCRIPTIVE_ONLY_NOT_A_SECURITY_THRESHOLD,,
DESCRIPTIVE_DISTANCE_BIN,ALL_ORBIT_DISTINCT,2<rho99<=5,48,3.6842702618692793,2.1502021333315167,3.865926817260209,3.877054663702398,3.8883582680562156,4.286501984918228,2.1409476345141285,4.295756706119398,0.5459722222222222,0.3616666666666666,0.47916666666666663,0.5583333333333333,0.6208333333333333,0.7100000000000001,0.04,0.9,48.0,32.0,1.0,0.0,DESCRIPTIVE_ONLY_NOT_A_SECURITY_THRESHOLD,,
DESCRIPTIVE_DISTANCE_BIN,ALL_ORBIT_DISTINCT,5<rho99<=10,36,9.474494668064644,9.673524124475303,9.673852193136423,9.684787182295672,9.685593980690713,9.80959653097516,5.079479992691352,9.823487564004736,0.2835185185185185,0.0333333333333333,0.15833333333333327,0.29999999999999993,0.42083333333333334,0.5166666666666667,0.0,0.6166666666666667,33.0,6.0,0.0,0.0,DESCRIPTIVE_ONLY_NOT_A_SECURITY_THRESHOLD,,
DESCRIPTIVE_DISTANCE_BIN,ALL_ORBIT_DISTINCT,rho99>10,138,1035.6729277890372,19.3532505715151,19.365251232483967,983.3993827451775,1807.4488659340773,2399.9190849479187,10.72307439939391,2968.465923544956,0.10954106280193236,0.0,0.0,0.02,0.24583333333333332,0.3333333333333333,0.0,0.6,75.0,3.0,0.0,0.0,DESCRIPTIVE_ONLY_NOT_A_SECURITY_THRESHOLD,,
SPEARMAN_CONTINUOUS,ALL_ORBIT_DISTINCT,log10(rho99) vs acceptance_fraction,265,,,,,,,,,,,,,,,,,,,,,EXPLORATORY_DESCRIPTIVE_NO_MONOTONIC_CAUSAL_CLAIM,-0.7506544357365847,2.9862192248971847e-49
SPEARMAN_CONTINUOUS,active_compensation_first_pass,log10(rho99) vs acceptance_fraction,30,,,,,,,,,,,,,,,,,,,,,EXPLORATORY_DESCRIPTIVE_NO_MONOTONIC_CAUSAL_CLAIM,0.08783643409551779,0.644403239171455
SPEARMAN_CONTINUOUS,controlled_altitude_difference_synthetic_B,log10(rho99) vs acceptance_fraction,166,,,,,,,,,,,,,,,,,,,,,EXPLORATORY_DESCRIPTIVE_NO_MONOTONIC_CAUSAL_CLAIM,-0.8601734889615682,7.944723564611359e-50
SPEARMAN_CONTINUOUS,same_pair_multi_pass_real_TLE,log10(rho99) vs acceptance_fraction,40,,,,,,,,,,,,,,,,,,,,,EXPLORATORY_DESCRIPTIVE_NO_MONOTONIC_CAUSAL_CLAIM,-0.09388141114679224,0.5644765192271535
SPEARMAN_CONTINUOUS,segment_local_heatmap_and_direction_sensitivity,log10(rho99) vs acceptance_fraction,29,,,,,,,,,,,,,,,,,,,,,EXPLORATORY_DESCRIPTIVE_NO_MONOTONIC_CAUSAL_CLAIM,-0.4408327570220635,0.016684847247967437
FAR_FROM_BOUNDARY_CHECK,ALL_ORBIT_DISTINCT,rho99>1.2,259,,,,,,,,,0.29435006435006433,0.0,0.0,0.3,0.5333333333333333,0.6700000000000003,0.0,0.95,192.0,75.0,2.0,,DESCRIPTIVE_ROBUSTNESS_CHECK,,
