satellite_norad_id,month,freshness_bin,satellite_name,analysis_role,segment_units,selected_passes,min_age_h,median_age_h,max_age_h,support_status
44714,2026-04,0-6 h,STARLINK-1008,EXPLORATORY,6,2,3.3945247644444443,4.234246986666667,5.0784136533333335,AVAILABLE
44714,2026-04,6-9 h,STARLINK-1008,EXPLORATORY,6,2,8.282931564444445,8.317266644444445,8.34965728,AVAILABLE
44714,2026-04,9-12 h,STARLINK-1008,EXPLORATORY,6,2,9.628798551111112,10.430881884444446,11.279354106666668,AVAILABLE
44714,2026-04,12-18 h,STARLINK-1008,EXPLORATORY,6,2,12.84657632888889,13.691992995555555,14.537409662222222,AVAILABLE
44714,2026-04,18-24 h,STARLINK-1008,EXPLORATORY,6,2,19.197783457777778,19.249649075555553,19.29595913777778,AVAILABLE
44714,2026-04,24-36 h,STARLINK-1008,EXPLORATORY,6,2,25.27243481777778,26.08701815111111,26.932712595555554,AVAILABLE
44714,2026-05,0-6 h,STARLINK-1008,EXPLORATORY,6,2,3.3775298222222223,4.210724266666666,5.046140933333334,AVAILABLE
44714,2026-05,6-9 h,STARLINK-1008,EXPLORATORY,6,2,6.6050295822222225,7.44030736,8.269474026666666,AVAILABLE
44714,2026-05,9-12 h,STARLINK-1008,EXPLORATORY,6,2,9.560138071111112,10.364445066666667,11.173474284444445,AVAILABLE
44714,2026-05,12-18 h,STARLINK-1008,EXPLORATORY,6,2,14.211522373333333,15.035272373333333,15.87068904,AVAILABLE
44714,2026-05,18-24 h,STARLINK-1008,EXPLORATORY,6,2,19.043744595555555,19.879855706666667,20.696522373333334,AVAILABLE
44714,2026-05,24-36 h,STARLINK-1008,EXPLORATORY,6,2,25.299495840000002,30.627351222222224,35.947428826666666,AVAILABLE
44714,2026-06,0-6 h,STARLINK-1008,CONFIRMATORY,6,2,3.35847768,4.194328182222222,5.036289795555555,AVAILABLE
44714,2026-06,6-9 h,STARLINK-1008,CONFIRMATORY,6,2,6.593234239999999,7.4269842399999995,8.255178684444443,AVAILABLE
44714,2026-06,9-12 h,STARLINK-1008,CONFIRMATORY,6,2,9.80986656888889,10.470367346666666,11.173368124444444,AVAILABLE
