month,analysis_role,satellite_norad_id,satellite_name,freshness_bin,candidate_pass_count,eligible_pass_count,selected_pass_count,selected_segment_count,status,preselection_failure_counts
2026-04,EXPLORATORY,44714,STARLINK-1008,0-6 h,146,29,2,6,ADEQUATE_PASS_QUOTA,{}
2026-04,EXPLORATORY,44714,STARLINK-1008,6-9 h,146,30,2,6,ADEQUATE_PASS_QUOTA,{}
2026-04,EXPLORATORY,44714,STARLINK-1008,9-12 h,146,26,2,6,ADEQUATE_PASS_QUOTA,{}
2026-04,EXPLORATORY,44714,STARLINK-1008,12-18 h,146,50,2,6,ADEQUATE_PASS_QUOTA,{}
2026-04,EXPLORATORY,44714,STARLINK-1008,18-24 h,146,7,2,6,ADEQUATE_PASS_QUOTA,{}
2026-04,EXPLORATORY,44714,STARLINK-1008,24-36 h,146,4,2,6,ADEQUATE_PASS_QUOTA,{}
2026-04,EXPLORATORY,65421,STARLINK-35146,0-6 h,153,2,2,6,ADEQUATE_PASS_QUOTA,"{""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,65421,STARLINK-35146,6-9 h,153,17,2,6,ADEQUATE_PASS_QUOTA,"{""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,65421,STARLINK-35146,9-12 h,153,38,2,6,ADEQUATE_PASS_QUOTA,"{""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,65421,STARLINK-35146,12-18 h,153,81,2,6,ADEQUATE_PASS_QUOTA,"{""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,65421,STARLINK-35146,18-24 h,153,7,2,6,ADEQUATE_PASS_QUOTA,"{""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,65421,STARLINK-35146,24-36 h,153,7,2,6,ADEQUATE_PASS_QUOTA,"{""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,65686,STARLINK-35137,0-6 h,153,7,2,6,ADEQUATE_PASS_QUOTA,"{""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 2}"
2026-04,EXPLORATORY,65686,STARLINK-35137,6-9 h,153,26,2,6,ADEQUATE_PASS_QUOTA,"{""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 2}"
2026-04,EXPLORATORY,65686,STARLINK-35137,9-12 h,153,27,2,6,ADEQUATE_PASS_QUOTA,"{""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 2}"
2026-04,EXPLORATORY,65686,STARLINK-35137,12-18 h,153,68,2,6,ADEQUATE_PASS_QUOTA,"{""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 2}"
2026-04,EXPLORATORY,65686,STARLINK-35137,18-24 h,153,20,2,6,ADEQUATE_PASS_QUOTA,"{""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 2}"
2026-04,EXPLORATORY,65686,STARLINK-35137,24-36 h,153,3,2,6,ADEQUATE_PASS_QUOTA,"{""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 2}"
2026-04,EXPLORATORY,65409,STARLINK-35022,0-6 h,152,6,2,6,ADEQUATE_PASS_QUOTA,"{""PEAK_OUT_OF_SUPPORT"": 1}"
2026-04,EXPLORATORY,65409,STARLINK-35022,6-9 h,152,23,2,6,ADEQUATE_PASS_QUOTA,"{""PEAK_OUT_OF_SUPPORT"": 1}"
2026-04,EXPLORATORY,65409,STARLINK-35022,9-12 h,152,31,2,6,ADEQUATE_PASS_QUOTA,"{""PEAK_OUT_OF_SUPPORT"": 1}"
2026-04,EXPLORATORY,65409,STARLINK-35022,12-18 h,152,77,2,6,ADEQUATE_PASS_QUOTA,"{""PEAK_OUT_OF_SUPPORT"": 1}"
2026-04,EXPLORATORY,65409,STARLINK-35022,18-24 h,152,12,2,6,ADEQUATE_PASS_QUOTA,"{""PEAK_OUT_OF_SUPPORT"": 1}"
2026-04,EXPLORATORY,65409,STARLINK-35022,24-36 h,152,2,2,6,ADEQUATE_PASS_QUOTA,"{""PEAK_OUT_OF_SUPPORT"": 1}"
2026-04,EXPLORATORY,47749,STARLINK-2163,0-6 h,145,13,2,6,ADEQUATE_PASS_QUOTA,{}
2026-04,EXPLORATORY,47749,STARLINK-2163,6-9 h,145,20,2,6,ADEQUATE_PASS_QUOTA,{}
2026-04,EXPLORATORY,47749,STARLINK-2163,9-12 h,145,31,2,6,ADEQUATE_PASS_QUOTA,{}
2026-04,EXPLORATORY,47749,STARLINK-2163,12-18 h,145,68,2,6,ADEQUATE_PASS_QUOTA,{}
2026-04,EXPLORATORY,47749,STARLINK-2163,18-24 h,145,13,2,6,ADEQUATE_PASS_QUOTA,{}
2026-04,EXPLORATORY,47749,STARLINK-2163,24-36 h,145,0,0,0,LIMITED_SUPPORT,{}
2026-04,EXPLORATORY,65410,STARLINK-35024,0-6 h,152,4,2,6,ADEQUATE_PASS_QUOTA,"{""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,65410,STARLINK-35024,6-9 h,152,24,2,6,ADEQUATE_PASS_QUOTA,"{""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,65410,STARLINK-35024,9-12 h,152,31,2,6,ADEQUATE_PASS_QUOTA,"{""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,65410,STARLINK-35024,12-18 h,152,81,2,6,ADEQUATE_PASS_QUOTA,"{""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
