analysis_split,metric,n,spearman_rho,spearman_pvalue,minimum_n_met
EXPLORATORY_APRIL_MAY,raw_rms_hz,1386,0.5179226124574758,5.724281634649772e-96,True
EXPLORATORY_APRIL_MAY,abs_delta_b_orbit_hz,1386,0.5149339331036835,1.0600655990747095e-94,True
EXPLORATORY_APRIL_MAY,abs_delta_k_orbit_hz_per_s,1386,0.31538090340065356,2.208212376935868e-33,True
EXPLORATORY_APRIL_MAY,score_orbit_hz,1386,0.29015790416783127,2.7171326402627654e-28,True
EXPLORATORY_APRIL_MAY,explained_fraction,1386,0.1993778611911402,6.820539031078044e-14,True
CONFIRMATORY_JUNE,raw_rms_hz,702,0.48326425959881925,2.309434416666757e-42,True
CONFIRMATORY_JUNE,abs_delta_b_orbit_hz,702,0.4816904610432653,4.6321654169821306e-42,True
CONFIRMATORY_JUNE,abs_delta_k_orbit_hz_per_s,702,0.3241983573089512,1.2122966657338345e-18,True
CONFIRMATORY_JUNE,score_orbit_hz,702,0.3103470499671415,3.869832830518215e-17,True
CONFIRMATORY_JUNE,explained_fraction,702,0.1723563329539754,4.371158213752833e-06,True
2026-04,raw_rms_hz,678,0.5375774829360572,4.885235928198263e-52,True
2026-04,abs_delta_b_orbit_hz,678,0.5338608008416111,3.248761740940504e-51,True
2026-04,abs_delta_k_orbit_hz_per_s,678,0.36928016515575307,2.480962635852759e-23,True
2026-04,score_orbit_hz,678,0.331680148414705,7.127535187551105e-19,True
2026-04,explained_fraction,678,0.16559601413663697,1.4651731128322858e-05,True
2026-05,raw_rms_hz,708,0.49583044754374184,3.335877684934316e-45,True
2026-05,abs_delta_b_orbit_hz,708,0.4937181898862458,8.899239725792699e-45,True
2026-05,abs_delta_k_orbit_hz_per_s,708,0.264323403827694,8.7873882075514e-13,True
2026-05,score_orbit_hz,708,0.25322002722817083,8.053932923967693e-12,True
2026-05,explained_fraction,708,0.22834259643192148,7.923714268804387e-10,True
2026-06,raw_rms_hz,702,0.48326425959881925,2.309434416666757e-42,True
2026-06,abs_delta_b_orbit_hz,702,0.4816904610432653,4.6321654169821306e-42,True
2026-06,abs_delta_k_orbit_hz_per_s,702,0.3241983573089512,1.2122966657338345e-18,True
2026-06,score_orbit_hz,702,0.3103470499671415,3.869832830518215e-17,True
2026-06,explained_fraction,702,0.1723563329539754,4.371158213752833e-06,True
