NORAD_CAT_ID,OBJECT_NAME,START_DATE,STOP_DATE
44714,STARLINK-1008,2026-04-01,2026-04-30
65686,STARLINK-35137,2026-04-01,2026-04-30
65421,STARLINK-35146,2026-04-01,2026-04-30
65409,STARLINK-35022,2026-04-01,2026-04-30
65410,STARLINK-35024,2026-04-01,2026-04-30
47749,STARLINK-2163,2026-04-01,2026-04-30
47383,STARLINK-2103,2026-04-01,2026-04-30
65411,STARLINK-34983,2026-04-01,2026-04-30
48309,STARLINK-2517,2026-04-01,2026-04-30
45230,STARLINK-1227,2026-04-01,2026-04-30
47844,STARLINK-2446,2026-04-01,2026-04-30
65407,STARLINK-35035,2026-04-01,2026-04-30
47767,STARLINK-2185,2026-04-01,2026-04-30
65405,STARLINK-34830,2026-04-01,2026-04-30
48672,STARLINK-2705,2026-04-01,2026-04-30
48111,STARLINK-2448,2026-04-01,2026-04-30
65693,STARLINK-35060,2026-04-01,2026-04-30
60265,STARLINK-32120,2026-04-01,2026-04-30
58380,STARLINK-30915,2026-04-01,2026-04-30
48458,STARLINK-2698,2026-04-01,2026-04-30
